Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): 0.0, денежный выигрыш: 0.0, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -0.31325530943266633, денежный выигрыш: -0.31325530943266633, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -0.3136220709085291, денежный выигрыш: -0.6268773803411954, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): -0.28846001789693454, денежный выигрыш: -0.91533739823813, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): 0.7525454855363787, денежный выигрыш: -0.1627919127017513, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): -0.8196051019030368, денежный выигрыш: -0.9823970146047881, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): -1.664850677444429, денежный выигрыш: -2.647247692049217, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): -0.2212991083696312, денежный выигрыш: -2.8685468004188484, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 1.2741164475306723, денежный выигрыш: -1.594430352888176, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 0.9117469189675849, денежный выигрыш: -0.6826834339205912, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 0.9197208526624429, денежный выигрыш: 0.2370374187418517, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 0.9266044480830006, денежный выигрыш: 1.1636418668248523, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 0.9325774164994863, денежный выигрыш: 2.0962192833243387, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): 7.167100540006026, денежный выигрыш: 9.263319823330365, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 4.760357730292297, денежный выигрыш: 14.023677553622662, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): 0.3143912678161206, денежный выигрыш: 14.338068821438782, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): 0.30551301106330025, денежный выигрыш: 14.643581832502083, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): 0.2983326663931657, денежный выигрыш: 14.941914498895247, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): -0.2782105710540083, денежный выигрыш: 14.663703927841238, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): 2.782227321676499, денежный выигрыш: 17.445931249517738, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): -4.966918632223325, денежный выигрыш: 12.479012617294412, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): 1.4995585684978059, денежный выигрыш: 13.978571185792218, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 23 (2007-06-24 00:00:00): -1.2249374004336246, денежный выигрыш: 12.753633785358593, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 24 (2007-06-25 00:00:00): -1.2248036210207915, денежный выигрыш: 11.528830164337801, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 25 (2007-06-26 00:00:00): -1.2238959204816118, денежный выигрыш: 10.30493424385619, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 26 (2007-06-27 00:00:00): 2.766379501192425, денежный выигрыш: 13.071313745048615, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 27 (2007-06-28 00:00:00): -1.3719855214066397, денежный выигрыш: 11.699328223641976, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 28 (2007-06-29 00:00:00): 2.971302542325465, денежный выигрыш: 14.670630765967442, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 29 (2007-06-30 00:00:00): 1.8415417180584481, денежный выигрыш: 16.51217248402589, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 30 (2007-07-01 00:00:00): 1.1970886098004805, денежный выигрыш: 17.70926109382637, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 31 (2007-07-02 00:00:00): 1.2013533332626785, денежный выигрыш: 18.910614427089047, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 32 (2007-07-03 00:00:00): 1.205459978192232, денежный выигрыш: 20.116074405281278, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 33 (2007-07-04 00:00:00): 0.8468276670061946, денежный выигрыш: 20.962902072287473, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 34 (2007-07-05 00:00:00): -1.6709938835075069, денежный выигрыш: 19.291908188779967, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 35 (2007-07-06 00:00:00): 2.822759196238621, денежный выигрыш: 22.11466738501859, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 36 (2007-07-07 00:00:00): 0.5065422224851857, денежный выигрыш: 22.621209607503776, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 37 (2007-07-08 00:00:00): 0.8545986756358142, денежный выигрыш: 23.47580828313959, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 38 (2007-07-09 00:00:00): 0.8575557420852628, денежный выигрыш: 24.333364025224853, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 39 (2007-07-10 00:00:00): 0.8604060279651667, денежный выигрыш: 25.19377005319002, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): -4.224678607820268, денежный выигрыш: 20.96909144536975, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 2.72931726987061, денежный выигрыш: 23.698408715240358, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 6.992197555327207, денежный выигрыш: 30.690606270567564, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 2.6581825423050556, денежный выигрыш: 33.34878881287262, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 1.0199628668961307, денежный выигрыш: 34.36875167976875, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 1.032906767387299, денежный выигрыш: 35.401658447156045, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): 1.0458643785170763, денежный выигрыш: 36.44752282567312, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): -1.3403357865778915, денежный выигрыш: 35.10718703909523, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): -3.2821633105804757, денежный выигрыш: 31.825023728514754, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): 5.22751474687059, денежный выигрыш: 37.05253847538535, eta: 0.005, большая delta: 0
