Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): -4.215571987185233, денежный выигрыш: 20.92731668790699, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 2.72490211986557, денежный выигрыш: 23.652218807772563, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 6.972277310540677, денежный выигрыш: 30.62449611831324, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 2.6611437831412394, денежный выигрыш: 33.28563990145448, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 1.008564611946018, денежный выигрыш: 34.2942045134005, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 1.0208821526107632, денежный выигрыш: 35.31508666601126, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): 1.0333802766996891, денежный выигрыш: 36.34846694271095, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): -1.3271860916568106, денежный выигрыш: 35.02128085105414, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): -3.275949841199281, денежный выигрыш: 31.745331009854855, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): 5.223027162820407, денежный выигрыш: 36.96835817267526, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 50 (2007-07-21 00:00:00): -1.8733465363409243, денежный выигрыш: 35.095011636334334, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 51 (2007-07-22 00:00:00): 0.0931612528210215, денежный выигрыш: 35.188172889155354, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 52 (2007-07-23 00:00:00): 0.09123467938308602, денежный выигрыш: 35.27940756853844, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 53 (2007-07-24 00:00:00): 0.08968722001980832, денежный выигрыш: 35.36909478855825, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 54 (2007-07-25 00:00:00): -6.896493247372292, денежный выигрыш: 28.47260154118596, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 55 (2007-07-26 00:00:00): 0.3809247454673755, денежный выигрыш: 28.853526286653334, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 56 (2007-07-27 00:00:00): -8.5099446225673, денежный выигрыш: 20.343581664086035, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 57 (2007-07-28 00:00:00): -4.357064342711281, денежный выигрыш: 15.986517321374754, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 58 (2007-07-29 00:00:00): 0.8700002114064678, денежный выигрыш: 16.856517532781222, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 59 (2007-07-30 00:00:00): 0.8690254856786936, денежный выигрыш: 17.725543018459916, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 60 (2007-07-31 00:00:00): 0.8685893932102354, денежный выигрыш: 18.594132411670152, eta: 0.0005, большая delta: 0
