Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): 0.0, денежный выигрыш: 0.0, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -0.27940704246259185, денежный выигрыш: -0.27940704246259185, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -0.2788960594598183, денежный выигрыш: -0.5583031019224102, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): -0.27164215265469166, денежный выигрыш: -0.8299452545771018, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): 0.8491986325144214, денежный выигрыш: 0.019253377937319627, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): 0.05679869408854752, денежный выигрыш: 0.07605207202586714, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): -0.5280583541965033, денежный выигрыш: -0.4520062821706361, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 0.1525701899856016, денежный выигрыш: -0.29943609218503453, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 1.7540570299215674, денежный выигрыш: 1.454620937736533, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 0.584269832700658, денежный выигрыш: 2.038890770437191, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 0.5864074272205818, денежный выигрыш: 2.6252981976577727, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 0.5882566715650502, денежный выигрыш: 3.213554869222823, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 0.5899573443673127, денежный выигрыш: 3.8035122135901354, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): 4.650751486706751, денежный выигрыш: 8.454263700296886, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 1.731891958259039, денежный выигрыш: 10.186155658555926, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): 0.22016815841653944, денежный выигрыш: 10.406323816972465, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): 0.22173078133062998, денежный выигрыш: 10.628054598303095, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): 0.2243570120259635, денежный выигрыш: 10.852411610329058, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): -0.6667819967497858, денежный выигрыш: 10.185629613579273, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): 1.8439360008400436, денежный выигрыш: 12.029565614419317, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): -3.3752430869555354, денежный выигрыш: 8.654322527463782, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): 1.8920405759733816, денежный выигрыш: 10.546363103437162, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 23 (2007-06-24 00:00:00): -0.4508755483644528, денежный выигрыш: 10.09548755507271, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 24 (2007-06-25 00:00:00): -0.4428868951014353, денежный выигрыш: 9.652600659971274, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 25 (2007-06-26 00:00:00): -0.4351103457898332, денежный выигрыш: 9.21749031418144, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 26 (2007-06-27 00:00:00): 0.9773830651686055, денежный выигрыш: 10.194873379350046, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 27 (2007-06-28 00:00:00): -1.0355660769274817, денежный выигрыш: 9.159307302422564, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 28 (2007-06-29 00:00:00): 1.5448451659070286, денежный выигрыш: 10.704152468329593, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 29 (2007-06-30 00:00:00): 0.40779133122784, денежный выигрыш: 11.111943799557432, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 30 (2007-07-01 00:00:00): 0.58773927481206, денежный выигрыш: 11.699683074369492, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 31 (2007-07-02 00:00:00): 0.590130541712222, денежный выигрыш: 12.289813616081714, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 32 (2007-07-03 00:00:00): 0.5924180282618704, денежный выигрыш: 12.882231644343584, eta: 0.005, большая delta: 0
