Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): 0.0, денежный выигрыш: 0.0, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -2.5066002230402793, денежный выигрыш: -2.5066002230402793, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -3.150110262483006, денежный выигрыш: -5.656710485523286, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): -3.2560080075175692, денежный выигрыш: -8.912718493040856, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): -6.522008551705491, денежный выигрыш: -15.434727044746346, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): -7.92708298691437, денежный выигрыш: -23.361810031660717, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): -6.7412383954949835, денежный выигрыш: -30.1030484271557, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 3.0022311183973853, денежный выигрыш: -27.100817308758312, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 0.3936809707019997, денежный выигрыш: -26.707136338056312, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 0.17992167523049227, денежный выигрыш: -26.52721466282582, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 0.1801320868851101, денежный выигрыш: -26.34708257594071, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 0.18013075344531132, денежный выигрыш: -26.1669518224954, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 0.18034061169575127, денежный выигрыш: -25.986611210799648, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): 25.34574960461658, денежный выигрыш: -0.6408616061830692, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 17.062140666391993, денежный выигрыш: 16.421279060208924, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): -2.331759908271688, денежный выигрыш: 14.089519151937235, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): -2.330817295816755, денежный выигрыш: 11.758701856120481, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): -2.330123054616258, денежный выигрыш: 9.428578801504223, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): -3.615959411491819, денежный выигрыш: 5.812619390012404, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): 32.28247815897711, денежный выигрыш: 38.095097548989514, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): -15.451449978356763, денежный выигрыш: 22.64364757063275, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): -10.231123119477935, денежный выигрыш: 12.412524451154816, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 23 (2007-06-24 00:00:00): -7.083241467504151, денежный выигрыш: 5.329282983650665, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 24 (2007-06-25 00:00:00): -7.08072313201817, денежный выигрыш: -1.7514401483675046, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 25 (2007-06-26 00:00:00): -7.078189449838134, денежный выигрыш: -8.829629598205639, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 26 (2007-06-27 00:00:00): 18.59368612480526, денежный выигрыш: 9.76405652659962, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 27 (2007-06-28 00:00:00): -16.197724187298814, денежный выигрыш: -6.433667660699193, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 28 (2007-06-29 00:00:00): 1.7748426748435966, денежный выигрыш: -4.658824985855596, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 29 (2007-06-30 00:00:00): -12.32416499965693, денежный выигрыш: -16.982989985512525, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 30 (2007-07-01 00:00:00): -0.743632458738847, денежный выигрыш: -17.726622444251372, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 31 (2007-07-02 00:00:00): -0.7434167723172936, денежный выигрыш: -18.470039216568665, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 32 (2007-07-03 00:00:00): -0.7431092202616257, денежный выигрыш: -19.21314843683029, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 33 (2007-07-04 00:00:00): 29.41271650030726, денежный выигрыш: 10.199568063476967, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 34 (2007-07-05 00:00:00): -2.1165521071659144, денежный выигрыш: 8.083015956311053, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 35 (2007-07-06 00:00:00): 18.668458379107697, денежный выигрыш: 26.75147433541875, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 36 (2007-07-07 00:00:00): 12.853924735285833, денежный выигрыш: 39.60539907070458, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 37 (2007-07-08 00:00:00): 1.9965057501839778, денежный выигрыш: 41.60190482088856, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 38 (2007-07-09 00:00:00): 1.9963114472666281, денежный выигрыш: 43.598216268155184, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 39 (2007-07-10 00:00:00): 1.9963615670438932, денежный выигрыш: 45.594577835199075, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): -15.276953902662562, денежный выигрыш: 30.317623932536513, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 16.004517123084955, денежный выигрыш: 46.32214105562147, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 28.68737762614896, денежный выигрыш: 75.00951868177043, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 4.803519864309083, денежный выигрыш: 79.81303854607951, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 0.24367994534867055, денежный выигрыш: 80.05671849142819, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 0.24382335586419462, денежный выигрыш: 80.30054184729238, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): 0.24385693705696215, денежный выигрыш: 80.54439878434934, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): 11.501206442562252, денежный выигрыш: 92.04560522691159, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): -16.296844371715377, денежный выигрыш: 75.74876085519621, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): 23.01023170691464, денежный выигрыш: 98.75899256211085, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 50 (2007-07-21 00:00:00): -13.899501746152527, денежный выигрыш: 84.85949081595832, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 51 (2007-07-22 00:00:00): 3.3991463130957107, денежный выигрыш: 88.25863712905404, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 52 (2007-07-23 00:00:00): 3.399839684904313, денежный выигрыш: 91.65847681395834, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 53 (2007-07-24 00:00:00): 3.4003342806968524, денежный выигрыш: 95.0588110946552, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 54 (2007-07-25 00:00:00): -31.471531410637102, денежный выигрыш: 63.5872796840181, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 55 (2007-07-26 00:00:00): 5.939429372436249, денежный выигрыш: 69.52670905645435, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 56 (2007-07-27 00:00:00): -28.66641793545104, денежный выигрыш: 40.860291121003314, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 57 (2007-07-28 00:00:00): -25.575014199901663, денежный выигрыш: 15.285276921101651, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 58 (2007-07-29 00:00:00): 0.6790948081721967, денежный выигрыш: 15.964371729273848, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 59 (2007-07-30 00:00:00): 0.6791658830249676, денежный выигрыш: 16.643537612298815, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 60 (2007-07-31 00:00:00): 0.679183678816224, денежный выигрыш: 17.322721291115037, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 61 (2007-08-01 00:00:00): 13.968041107330409, денежный выигрыш: 31.290762398445445, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 62 (2007-08-02 00:00:00): -35.35196920322126, денежный выигрыш: -4.061206804775814, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 63 (2007-08-03 00:00:00): 9.639350460387735, денежный выигрыш: 5.578143655611921, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 64 (2007-08-04 00:00:00): 5.663632695929721, денежный выигрыш: 11.241776351541642, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 65 (2007-08-05 00:00:00): -7.646941730751704, денежный выигрыш: 3.594834620789938, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 66 (2007-08-06 00:00:00): -7.644920257539595, денежный выигрыш: -4.050085636749657, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 67 (2007-08-07 00:00:00): -7.643430360210626, денежный выигрыш: -11.693515996960283, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 68 (2007-08-08 00:00:00): -4.344808023461713, денежный выигрыш: -16.038324020421996, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 69 (2007-08-09 00:00:00): 26.035185264780306, денежный выигрыш: 9.99686124435831, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 70 (2007-08-10 00:00:00): -27.317333019145785, денежный выигрыш: -17.320471774787475, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 71 (2007-08-11 00:00:00): -29.232315623156392, денежный выигрыш: -46.55278739794387, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 72 (2007-08-12 00:00:00): 10.208302704877177, денежный выигрыш: -36.34448469306669, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 73 (2007-08-13 00:00:00): 10.213484436412568, денежный выигрыш: -26.131000256654122, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 74 (2007-08-14 00:00:00): 10.216189131029063, денежный выигрыш: -15.914811125625059, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 75 (2007-08-15 00:00:00): -5.908136466413605, денежный выигрыш: -21.822947592038666, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 76 (2007-08-16 00:00:00): -26.087388965870684, денежный выигрыш: -47.910336557909346, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 77 (2007-08-17 00:00:00): -25.85521507709243, денежный выигрыш: -73.76555163500177, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 78 (2007-08-18 00:00:00): 21.448196402297576, денежный выигрыш: -52.317355232704195, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 79 (2007-08-19 00:00:00): -2.9318695467668068, денежный выигрыш: -55.249224779471, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 80 (2007-08-20 00:00:00): -2.9312417410822826, денежный выигрыш: -58.18046652055328, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 81 (2007-08-21 00:00:00): -2.9311580995946613, денежный выигрыш: -61.11162462014794, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 82 (2007-08-22 00:00:00): -12.851250474479784, денежный выигрыш: -73.96287509462772, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 83 (2007-08-23 00:00:00): 17.410176714444308, денежный выигрыш: -56.552698380183415, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 84 (2007-08-24 00:00:00): -2.846624322433941, денежный выигрыш: -59.399322702617354, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 85 (2007-08-25 00:00:00): 1.5181757364225354, денежный выигрыш: -57.88114696619482, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 86 (2007-08-26 00:00:00): 1.9009945641082233, денежный выигрыш: -55.980152402086595, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 87 (2007-08-27 00:00:00): 1.9009210465783608, денежный выигрыш: -54.079231355508234, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 88 (2007-08-28 00:00:00): 1.9009471170778824, денежный выигрыш: -52.17828423843035, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 89 (2007-08-29 00:00:00): -5.963913189881534, денежный выигрыш: -58.14219742831189, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 90 (2007-08-30 00:00:00): -2.3576519651060814, денежный выигрыш: -60.49984939341797, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 91 (2007-08-31 00:00:00): -2.742500341915537, денежный выигрыш: -63.242349735333505, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 92 (2007-09-01 00:00:00): 14.391085687637421, денежный выигрыш: -48.851264047696084, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 93 (2007-09-02 00:00:00): 2.5297532341193625, денежный выигрыш: -46.32151081357672, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 94 (2007-09-03 00:00:00): 2.530274892962559, денежный выигрыш: -43.79123592061416, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 95 (2007-09-04 00:00:00): 2.5309740624129287, денежный выигрыш: -41.26026185820123, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 96 (2007-09-05 00:00:00): -5.985884127365908, денежный выигрыш: -47.24614598556714, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 97 (2007-09-06 00:00:00): -1.5777479323009944, денежный выигрыш: -48.82389391786813, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 98 (2007-09-07 00:00:00): 17.53702750292792, денежный выигрыш: -31.286866414940214, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 99 (2007-09-08 00:00:00): -19.415348628996405, денежный выигрыш: -50.70221504393662, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 100 (2007-09-09 00:00:00): 0.6432699588511429, денежный выигрыш: -50.058945085085476, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 101 (2007-09-10 00:00:00): 0.643364054373926, денежный выигрыш: -49.41558103071155, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 102 (2007-09-11 00:00:00): 0.6434846348429637, денежный выигрыш: -48.77209639586859, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 103 (2007-09-12 00:00:00): 3.574729755323567, денежный выигрыш: -45.19736664054502, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 104 (2007-09-13 00:00:00): -8.596404382498967, денежный выигрыш: -53.79377102304399, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 105 (2007-09-14 00:00:00): 17.69997019029276, денежный выигрыш: -36.09380083275123, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 106 (2007-09-15 00:00:00): -2.650383836504239, денежный выигрыш: -38.74418466925547, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 107 (2007-09-16 00:00:00): -3.2555746431111916, денежный выигрыш: -41.999759312366656, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 108 (2007-09-17 00:00:00): -3.2550989131948547, денежный выигрыш: -45.25485822556151, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 109 (2007-09-18 00:00:00): -3.254683348755639, денежный выигрыш: -48.509541574317154, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 110 (2007-09-19 00:00:00): 14.627181694815457, денежный выигрыш: -33.8823598795017, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 111 (2007-09-20 00:00:00): 43.77508048751482, денежный выигрыш: 9.892720608013121, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 112 (2007-09-21 00:00:00): -3.663176234677865, денежный выигрыш: 6.229544373335257, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 113 (2007-09-22 00:00:00): 5.789395352959491, денежный выигрыш: 12.018939726294747, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 114 (2007-09-23 00:00:00): 1.4532314463738636, денежный выигрыш: 13.47217117266861, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 115 (2007-09-24 00:00:00): 1.4533045333189094, денежный выигрыш: 14.92547570598752, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 116 (2007-09-25 00:00:00): 1.4534130259054594, денежный выигрыш: 16.378888731892978, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 117 (2007-09-26 00:00:00): -17.73784804800475, денежный выигрыш: -1.358959316111772, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 118 (2007-09-27 00:00:00): 21.923416965089196, денежный выигрыш: 20.564457648977424, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 119 (2007-09-28 00:00:00): 14.319467091143293, денежный выигрыш: 34.88392474012072, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 120 (2007-09-29 00:00:00): 9.858876994053944, денежный выигрыш: 44.74280173417466, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 121 (2007-09-30 00:00:00): -8.625386703308882, денежный выигрыш: 36.11741503086578, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 122 (2007-10-01 00:00:00): -8.622047825317967, денежный выигрыш: 27.49536720554781, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 123 (2007-10-02 00:00:00): -8.6196947227455, денежный выигрыш: 18.87567248280231, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 124 (2007-10-03 00:00:00): 42.586461042858744, денежный выигрыш: 61.46213352566106, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 125 (2007-10-04 00:00:00): -9.752399612515765, денежный выигрыш: 51.70973391314529, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 126 (2007-10-05 00:00:00): 5.278538107585315, денежный выигрыш: 56.988272020730605, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 127 (2007-10-06 00:00:00): 36.58398513916085, денежный выигрыш: 93.57225715989145, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 128 (2007-10-07 00:00:00): 0.7517346084797444, денежный выигрыш: 94.3239917683712, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 129 (2007-10-08 00:00:00): 0.751663046549533, денежный выигрыш: 95.07565481492074, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 130 (2007-10-09 00:00:00): 0.7516762328296263, денежный выигрыш: 95.82733104775036, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 131 (2007-10-10 00:00:00): 5.898207412170458, денежный выигрыш: 101.72553845992083, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 132 (2007-10-11 00:00:00): -6.646936503909459, денежный выигрыш: 95.07860195601137, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 133 (2007-10-12 00:00:00): 24.3291153935195, денежный выигрыш: 119.40771734953087, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 134 (2007-10-13 00:00:00): -10.076610738703236, денежный выигрыш: 109.33110661082763, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 135 (2007-10-14 00:00:00): 2.0125956023545797, денежный выигрыш: 111.34370221318221, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 136 (2007-10-15 00:00:00): 2.0127174167552173, денежный выигрыш: 113.35641962993743, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 137 (2007-10-16 00:00:00): 2.0125384275649782, денежный выигрыш: 115.36895805750241, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 138 (2007-10-17 00:00:00): -0.7063768773201106, денежный выигрыш: 114.6625811801823, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 139 (2007-10-18 00:00:00): -0.24994340475034943, денежный выигрыш: 114.41263777543195, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 140 (2007-10-19 00:00:00): -37.54172895471707, денежный выигрыш: 76.87090882071487, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 141 (2007-10-20 00:00:00): -5.073911054475152, денежный выигрыш: 71.79699776623973, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 142 (2007-10-21 00:00:00): -10.052865798841873, денежный выигрыш: 61.744131967397855, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 143 (2007-10-22 00:00:00): -10.051133974447668, денежный выигрыш: 51.69299799295019, eta: 0.0001, большая delta: 0
