Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): 0.0, денежный выигрыш: 0.0, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -2.5066002230402793, денежный выигрыш: -2.5066002230402793, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -3.135938566159132, денежный выигрыш: -5.642538789199412, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): -3.244932442591693, денежный выигрыш: -8.887471231791105, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): -6.497667994851987, денежный выигрыш: -15.385139226643092, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): -7.864117154405863, денежный выигрыш: -23.249256381048955, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): -6.679813247143857, денежный выигрыш: -29.929069628192813, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 2.982763298881112, денежный выигрыш: -26.946306329311703, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 0.39274313667280575, денежный выигрыш: -26.553563192638897, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 0.18027748238995314, денежный выигрыш: -26.373285710248943, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 0.18039156818815716, денежный выигрыш: -26.192894142060787, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 0.1803744285996464, денежный выигрыш: -26.012519713461142, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 0.18058307134637522, денежный выигрыш: -25.831936642114766, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): 25.337677299265284, денежный выигрыш: -0.4942593428494817, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 17.321467453978254, денежный выигрыш: 16.827208111128773, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): -2.3678013366928825, денежный выигрыш: 14.459406774435891, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): -2.32955383845025, денежный выигрыш: 12.12985293598564, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): -2.323729475826221, денежный выигрыш: 9.80612346015942, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): -3.6076887393272967, денежный выигрыш: 6.198434720832123, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): 32.188823376800705, денежный выигрыш: 38.38725809763283, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): -15.713185135511836, денежный выигрыш: 22.674072962120995, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): -10.11747018305278, денежный выигрыш: 12.556602779068216, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 23 (2007-06-24 00:00:00): -6.986416018882103, денежный выигрыш: 5.570186760186113, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 24 (2007-06-25 00:00:00): -7.019832742370164, денежный выигрыш: -1.4496459821840508, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 25 (2007-06-26 00:00:00): -7.022256312397289, денежный выигрыш: -8.47190229458134, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 26 (2007-06-27 00:00:00): 18.451121289915314, денежный выигрыш: 9.979218995333973, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 27 (2007-06-28 00:00:00): -16.40550434821999, денежный выигрыш: -6.4262853528860155, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 28 (2007-06-29 00:00:00): 1.7688221436118916, денежный выигрыш: -4.657463209274124, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 29 (2007-06-30 00:00:00): -12.30395188029331, денежный выигрыш: -16.961415089567435, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 30 (2007-07-01 00:00:00): -0.726290396045067, денежный выигрыш: -17.6877054856125, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 31 (2007-07-02 00:00:00): -0.739145223056563, денежный выигрыш: -18.426850708669065, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 32 (2007-07-03 00:00:00): -0.7408055364791329, денежный выигрыш: -19.167656245148198, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 33 (2007-07-04 00:00:00): 29.371565989024223, денежный выигрыш: 10.203909743876025, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 34 (2007-07-05 00:00:00): -2.15683656200053, денежный выигрыш: 8.047073181875495, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 35 (2007-07-06 00:00:00): 18.685462378167795, денежный выигрыш: 26.73253556004329, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 36 (2007-07-07 00:00:00): 13.025510066608467, денежный выигрыш: 39.75804562665176, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 37 (2007-07-08 00:00:00): 2.016004583286784, денежный выигрыш: 41.774050209938544, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 38 (2007-07-09 00:00:00): 2.0012450952253014, денежный выигрыш: 43.775295305163844, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 39 (2007-07-10 00:00:00): 1.999481235196808, денежный выигрыш: 45.774776540360655, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): -15.300354960690965, денежный выигрыш: 30.474421579669688, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 15.807593874413628, денежный выигрыш: 46.282015454083314, eta: 0.01, большая delta: 0
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 28.948753069698405, денежный выигрыш: 75.23076852378172, eta: 0.01, большая delta: 0
