Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): 0.0, денежный выигрыш: 0.0, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -2.5066002230402793, денежный выигрыш: -2.5066002230402793, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -3.143178243792031, денежный выигрыш: -5.64977846683231, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): -3.250623021857938, денежный выигрыш: -8.900401488690248, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): -6.51017361844692, денежный выигрыш: -15.410575107137168, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): -7.897003970889673, денежный выигрыш: -23.30757907802684, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): -6.712208401189171, денежный выигрыш: -30.019787479216014, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 2.9929637523995765, денежный выигрыш: -27.02682372681644, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 0.39317742631718566, денежный выигрыш: -26.63364630049925, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 0.18009405973243797, денежный выигрыш: -26.453552240766815, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 0.18025952843441706, денежный выигрыш: -26.2732927123324, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 0.18025079571854413, денежный выигрыш: -26.093041916613856, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 0.18046011822240401, денежный выигрыш: -25.912581798391454, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): 25.34176905371666, денежный выигрыш: -0.570812744674793, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 17.20220838335471, денежный выигрыш: 16.631395638679916, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): -2.351187304474755, денежный выигрыш: 14.28020833420516, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): -2.33039969400168, денежный выигрыш: 11.949808640203479, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): -2.3270245888176255, денежный выигрыш: 9.622784051385853, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): -3.6119297592083544, денежный выигрыш: 6.010854292177498, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): 32.23699071725779, денежный выигрыш: 38.24784500943529, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): -15.597907492560418, денежный выигрыш: 22.64993751687487, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): -10.179409044314855, денежный выигрыш: 12.470528472560016, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 23 (2007-06-24 00:00:00): -7.0383917853881055, денежный выигрыш: 5.43213668717191, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 24 (2007-06-25 00:00:00): -7.052116029124056, денежный выигрыш: -1.6199793419521455, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 25 (2007-06-26 00:00:00): -7.051658120540346, денежный выигрыш: -8.671637462492491, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 26 (2007-06-27 00:00:00): 18.525890216366047, денежный выигрыш: 9.854252753873556, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 27 (2007-06-28 00:00:00): -16.308234970662763, денежный выигрыш: -6.453982216789207, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 28 (2007-06-29 00:00:00): 1.7720655216628218, денежный выигрыш: -4.681916695126385, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 29 (2007-06-30 00:00:00): -12.315018051765465, денежный выигрыш: -16.99693474689185, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 30 (2007-07-01 00:00:00): -0.7355319129375792, денежный выигрыш: -17.732466659829427, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 31 (2007-07-02 00:00:00): -0.7414037455222209, денежный выигрыш: -18.473870405351647, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 32 (2007-07-03 00:00:00): -0.7419940228597776, денежный выигрыш: -19.215864428211425, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 33 (2007-07-04 00:00:00): 29.392565908684194, денежный выигрыш: 10.176701480472769, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 34 (2007-07-05 00:00:00): -2.1389352728241606, денежный выигрыш: 8.037766207648609, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 35 (2007-07-06 00:00:00): 18.679708317051464, денежный выигрыш: 26.717474524700073, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 36 (2007-07-07 00:00:00): 12.9452654092377, денежный выигрыш: 39.66273993393777, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 37 (2007-07-08 00:00:00): 2.006844513628589, денежный выигрыш: 41.66958444756636, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 38 (2007-07-09 00:00:00): 1.9988737730574178, денежный выигрыш: 43.668458220623776, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 39 (2007-07-10 00:00:00): 1.9979354297507494, денежный выигрыш: 45.66639365037452, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): -15.288662860065404, денежный выигрыш: 30.37773079030912, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 15.912445102466236, денежный выигрыш: 46.29017589277535, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 28.824712688390214, денежный выигрыш: 75.11488858116556, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 4.838662273226062, денежный выигрыш: 79.95355085439162, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 0.24363955572822085, денежный выигрыш: 80.19719041011984, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 0.2439035454040181, денежный выигрыш: 80.44109395552387, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): 0.24396449951787658, денежный выигрыш: 80.68505845504174, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): 11.501191283124538, денежный выигрыш: 92.18624973816628, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): -16.37371817874066, денежный выигрыш: 75.81253155942562, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): 22.877114604718354, денежный выигрыш: 98.68964616414398, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 50 (2007-07-21 00:00:00): -13.992409968540354, денежный выигрыш: 84.69723619560362, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 51 (2007-07-22 00:00:00): 3.3842980475623308, денежный выигрыш: 88.08153424316595, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 52 (2007-07-23 00:00:00): 3.4027081394124354, денежный выигрыш: 91.48424238257839, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 53 (2007-07-24 00:00:00): 3.4053779166410383, денежный выигрыш: 94.88962029921943, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 54 (2007-07-25 00:00:00): -31.517355727825063, денежный выигрыш: 63.37226457139437, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 55 (2007-07-26 00:00:00): 5.862678440562018, денежный выигрыш: 69.23494301195639, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 56 (2007-07-27 00:00:00): -28.683681211753193, денежный выигрыш: 40.55126180020319, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 57 (2007-07-28 00:00:00): -25.288709838065706, денежный выигрыш: 15.262551962137486, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 58 (2007-07-29 00:00:00): 0.6751661181719134, денежный выигрыш: 15.9377180803094, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 59 (2007-07-30 00:00:00): 0.6787488121440932, денежный выигрыш: 16.616466892453495, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 60 (2007-07-31 00:00:00): 0.6791973198794099, денежный выигрыш: 17.295664212332905, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 61 (2007-08-01 00:00:00): 13.969385500988711, денежный выигрыш: 31.265049713321616, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 62 (2007-08-02 00:00:00): -35.528907045352554, денежный выигрыш: -4.263857332030938, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 63 (2007-08-03 00:00:00): 9.506796037820413, денежный выигрыш: 5.242938705789475, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 64 (2007-08-04 00:00:00): 5.670538997684226, денежный выигрыш: 10.913477703473703, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 65 (2007-08-05 00:00:00): -7.663407030662397, денежный выигрыш: 3.2500706728113054, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 66 (2007-08-06 00:00:00): -7.623505591629509, денежный выигрыш: -4.373434918818203, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 67 (2007-08-07 00:00:00): -7.616564694645403, денежный выигрыш: -11.989999613463606, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 68 (2007-08-08 00:00:00): -4.323592822633634, денежный выигрыш: -16.313592436097238, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 69 (2007-08-09 00:00:00): 25.96265269340671, денежный выигрыш: 9.649060257309472, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 70 (2007-08-10 00:00:00): -27.54066096163544, денежный выигрыш: -17.891600704325967, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 71 (2007-08-11 00:00:00): -28.93068219405778, денежный выигрыш: -46.82228289838375, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 72 (2007-08-12 00:00:00): 10.050015441402843, денежный выигрыш: -36.772267456980906, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 73 (2007-08-13 00:00:00): 10.233085755519602, денежный выигрыш: -26.539181701461303, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 74 (2007-08-14 00:00:00): 10.258498832381845, денежный выигрыш: -16.280682869079456, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 75 (2007-08-15 00:00:00): -5.932866602691372, денежный выигрыш: -22.21354947177083, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 76 (2007-08-16 00:00:00): -26.045057023932944, денежный выигрыш: -48.25860649570377, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 77 (2007-08-17 00:00:00): -25.554502703060287, денежный выигрыш: -73.81310919876407, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 78 (2007-08-18 00:00:00): 21.187696977321995, денежный выигрыш: -52.625412221442076, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 79 (2007-08-19 00:00:00): -2.9479624738241834, денежный выигрыш: -55.57337469526626, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 80 (2007-08-20 00:00:00): -2.930098352505774, денежный выигрыш: -58.50347304777203, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 81 (2007-08-21 00:00:00): -2.9276831272591344, денежный выигрыш: -61.43115617503117, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 82 (2007-08-22 00:00:00): -12.833391164749363, денежный выигрыш: -74.26454733978053, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 83 (2007-08-23 00:00:00): 17.30868262136879, денежный выигрыш: -56.955864718411746, eta: 0.005, большая delta: 0
