Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 15.988352803297454, денежный выигрыш: 46.314317249609424, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 28.713854064606522, денежный выигрыш: 75.02817131421594, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 4.810584642227027, денежный выигрыш: 79.83875595644297, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 0.2436722704513577, денежный выигрыш: 80.08242822689432, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 0.2438379884861246, денежный выигрыш: 80.32626621538044, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): 0.24387667360956627, денежный выигрыш: 80.57014288899, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): 11.501205978123094, денежный выигрыш: 92.0713488671131, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): -16.311535797622923, денежный выигрыш: 75.75981306949018, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): 22.986987510951547, денежный выигрыш: 98.74680058044173, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 50 (2007-07-21 00:00:00): -13.917754070789348, денежный выигрыш: 84.82904650965239, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 51 (2007-07-22 00:00:00): 3.396550358503133, денежный выигрыш: 88.22559686815552, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 52 (2007-07-23 00:00:00): 3.400386218646133, денежный выигрыш: 91.62598308680165, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 53 (2007-07-24 00:00:00): 3.40127419927211, денежный выигрыш: 95.02725728607376, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 54 (2007-07-25 00:00:00): -31.480067534462055, денежный выигрыш: 63.54718975161171, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 55 (2007-07-26 00:00:00): 5.926585737478157, денежный выигрыш: 69.47377548908987, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 56 (2007-07-27 00:00:00): -28.670291122358947, денежный выигрыш: 40.80348436673093, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 57 (2007-07-28 00:00:00): -25.526699171481475, денежный выигрыш: 15.276785195249452, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 58 (2007-07-29 00:00:00): 0.678444101010883, денежный выигрыш: 15.955229296260335, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 59 (2007-07-30 00:00:00): 0.6790986357659587, денежный выигрыш: 16.634327932026295, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 60 (2007-07-31 00:00:00): 0.6791874402876202, денежный выигрыш: 17.313515372313915, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 61 (2007-08-01 00:00:00): 13.968296964340436, денежный выигрыш: 31.28181233665435, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 62 (2007-08-02 00:00:00): -35.38582163618358, денежный выигрыш: -4.104009299529228, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 63 (2007-08-03 00:00:00): 9.617512150942636, денежный выигрыш: 5.513502851413408, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 64 (2007-08-04 00:00:00): 5.665105396310649, денежный выигрыш: 11.178608247724057, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 65 (2007-08-05 00:00:00): -7.650061338855141, денежный выигрыш: 3.5285469088689156, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 66 (2007-08-06 00:00:00): -7.641082853320649, денежный выигрыш: -4.112535944451733, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 67 (2007-08-07 00:00:00): -7.638636904610035, денежный выигрыш: -11.751172849061767, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 68 (2007-08-08 00:00:00): -4.341029629317357, денежный выигрыш: -16.092202478379125, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 69 (2007-08-09 00:00:00): 26.022216390600754, денежный выигрыш: 9.930013912221629, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 70 (2007-08-10 00:00:00): -27.361546903922513, денежный выигрыш: -17.431532991700884, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 71 (2007-08-11 00:00:00): -29.181147364310117, денежный выигрыш: -46.612680356011, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 72 (2007-08-12 00:00:00): 10.182287258776823, денежный выигрыш: -36.43039309723417, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 73 (2007-08-13 00:00:00): 10.217543926727668, денежный выигрыш: -26.212849170506505, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 74 (2007-08-14 00:00:00): 10.224283446744607, денежный выигрыш: -15.988565723761898, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 75 (2007-08-15 00:00:00): -5.912865185233646, денежный выигрыш: -21.901430908995543, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 76 (2007-08-16 00:00:00): -26.079828448400956, денежный выигрыш: -47.981259357396496, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 77 (2007-08-17 00:00:00): -25.804276337055303, денежный выигрыш: -73.7855356944518, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 78 (2007-08-18 00:00:00): 21.404922694775557, денежный выигрыш: -52.38061299967624, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 79 (2007-08-19 00:00:00): -2.9350551583635616, денежный выигрыш: -55.3156681580398, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 80 (2007-08-20 00:00:00): -2.931062812507258, денежный выигрыш: -58.246730970547056, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 81 (2007-08-21 00:00:00): -2.930530118930791, денежный выигрыш: -61.177261089477845, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 82 (2007-08-22 00:00:00): -12.848009339298292, денежный выигрыш: -74.02527042877614, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 83 (2007-08-23 00:00:00): 17.392305565369977, денежный выигрыш: -56.63296486340616, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 84 (2007-08-24 00:00:00): -2.8497603567164806, денежный выигрыш: -59.48272522012264, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 85 (2007-08-25 00:00:00): 1.5180814285772386, денежный выигрыш: -57.9646437915454, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 86 (2007-08-26 00:00:00): 1.9012135539256656, денежный выигрыш: -56.063430237619734, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 87 (2007-08-27 00:00:00): 1.9011652958461465, денежный выигрыш: -54.162264941773586, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 88 (2007-08-28 00:00:00): 1.9011939736047097, денежный выигрыш: -52.26107096816887, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 89 (2007-08-29 00:00:00): -5.964802377368734, денежный выигрыш: -58.22587334553761, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 90 (2007-08-30 00:00:00): -2.356800305918955, денежный выигрыш: -60.58267365145656, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 91 (2007-08-31 00:00:00): -2.7419570053776776, денежный выигрыш: -63.32463065683424, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 92 (2007-09-01 00:00:00): 14.388147211623286, денежный выигрыш: -48.93648344521095, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 93 (2007-09-02 00:00:00): 2.532516020831822, денежный выигрыш: -46.40396742437913, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 94 (2007-09-03 00:00:00): 2.5313768636112846, денежный выигрыш: -43.87259056076785, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 95 (2007-09-04 00:00:00): 2.531842065846079, денежный выигрыш: -41.34074849492177, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 96 (2007-09-05 00:00:00): -5.987539194005988, денежный выигрыш: -47.32828768892776, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 97 (2007-09-06 00:00:00): -1.5769660050695256, денежный выигрыш: -48.90525369399728, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 98 (2007-09-07 00:00:00): 17.533579321037077, денежный выигрыш: -31.371674372960204, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 99 (2007-09-08 00:00:00): -19.439835004273625, денежный выигрыш: -50.81150937723383, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 100 (2007-09-09 00:00:00): 0.6422571718895925, денежный выигрыш: -50.16925220534424, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 101 (2007-09-10 00:00:00): 0.6432692484389126, денежный выигрыш: -49.52598295690533, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 102 (2007-09-11 00:00:00): 0.6435199837942023, денежный выигрыш: -48.88246297311113, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 103 (2007-09-12 00:00:00): 3.5749456481561457, денежный выигрыш: -45.307517324954986, eta: 0.001, большая delta: 0
