Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): 9.323315801931887, денежный выигрыш: 94.54544280239786, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 21.307725657344566, денежный выигрыш: 115.85316845974242, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 4.675281937625734, денежный выигрыш: 120.52845039736816, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 0.740248656127051, денежный выигрыш: 121.26869905349521, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 0.7365493968245458, денежный выигрыш: 122.00524845031975, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 0.5102650633752873, денежный выигрыш: 122.51551351369504, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): -2.0329050032190885, денежный выигрыш: 120.48260851047596, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): -6.904470856719306, денежный выигрыш: 113.57813765375666, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): 14.022302692765026, денежный выигрыш: 127.60044034652168, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): -9.557412805179322, денежный выигрыш: 118.04302754134235, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 50 (2007-07-21 00:00:00): 0.5901405959151321, денежный выигрыш: 118.63316813725748, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 51 (2007-07-22 00:00:00): 0.664784242500325, денежный выигрыш: 119.29795237975782, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 52 (2007-07-23 00:00:00): 0.6648189927400318, денежный выигрыш: 119.96277137249785, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 53 (2007-07-24 00:00:00): -19.998729476560797, денежный выигрыш: 99.96404189593706, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 54 (2007-07-25 00:00:00): 2.7435154956139804, денежный выигрыш: 102.70755739155103, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 55 (2007-07-26 00:00:00): -27.33413780852712, денежный выигрыш: 75.37341958302392, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 56 (2007-07-27 00:00:00): -14.562208725359326, денежный выигрыш: 60.81121085766459, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 57 (2007-07-28 00:00:00): 1.7742061134208287, денежный выигрыш: 62.58541697108542, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 58 (2007-07-29 00:00:00): 1.774416451038614, денежный выигрыш: 64.35983342212404, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 59 (2007-07-30 00:00:00): 1.7745960715039593, денежный выигрыш: 66.134429493628, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 60 (2007-07-31 00:00:00): 9.754947500447829, денежный выигрыш: 75.88937699407583, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 61 (2007-08-01 00:00:00): -17.056603422878744, денежный выигрыш: 58.83277357119709, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 62 (2007-08-02 00:00:00): 9.812238574845788, денежный выигрыш: 68.64501214604287, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 63 (2007-08-03 00:00:00): 3.80200859183213, денежный выигрыш: 72.44702073787501, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 64 (2007-08-04 00:00:00): -3.4221249210016476, денежный выигрыш: 69.02489581687335, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 65 (2007-08-05 00:00:00): -3.4219416867078976, денежный выигрыш: 65.60295413016546, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 66 (2007-08-06 00:00:00): -3.421804215586793, денежный выигрыш: 62.18114991457866, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 67 (2007-08-07 00:00:00): 5.29457713935012, денежный выигрыш: 67.47572705392878, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 68 (2007-08-08 00:00:00): 16.593847979982606, денежный выигрыш: 84.06957503391138, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 69 (2007-08-09 00:00:00): -23.787396005727402, денежный выигрыш: 60.282179028183975, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 70 (2007-08-10 00:00:00): -11.234063953367727, денежный выигрыш: 49.04811507481625, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 71 (2007-08-11 00:00:00): 6.537061958748279, денежный выигрыш: 55.585177033564534, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 72 (2007-08-12 00:00:00): 6.537395656991418, денежный выигрыш: 62.122572690555955, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 73 (2007-08-13 00:00:00): 6.5376791615817265, денежный выигрыш: 68.66025185213768, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 74 (2007-08-14 00:00:00): -4.478888564608931, денежный выигрыш: 64.18136328752874, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 75 (2007-08-15 00:00:00): -19.660089350389953, денежный выигрыш: 44.52127393713879, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 76 (2007-08-16 00:00:00): -20.656362732440833, денежный выигрыш: 23.864911204697954, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 77 (2007-08-17 00:00:00): 17.332451191680903, денежный выигрыш: 41.19736239637886, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 78 (2007-08-18 00:00:00): -2.4027278132432643, денежный выигрыш: 38.79463458313559, eta: 1e-05, большая delta: 0
