Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): -2.621157889999978, денежный выигрыш: -2.621157889999978, eta: 5e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -3.062793332028906, денежный выигрыш: -5.683951222028884, eta: 5e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -3.099066444467448, денежный выигрыш: -8.783017666496331, eta: 5e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): 5.905804783412415, денежный выигрыш: -2.8772128830839163, eta: 5e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): 6.7632614883241295, денежный выигрыш: 3.8860486052402132, eta: 5e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): 2.934964044707034, денежный выигрыш: 6.821012649947248, eta: 5e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): 5.642816016781836, денежный выигрыш: 12.463828666729084, eta: 5e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 15.317485228809291, денежный выигрыш: 27.781313895538375, eta: 5e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 2.08058288536619, денежный выигрыш: 29.861896780904566, eta: 5e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 2.0809100114349626, денежный выигрыш: 31.94280679233953, eta: 5e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 2.081237133590417, денежный выигрыш: 34.024043925929945, eta: 5e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 2.081564251828141, денежный выигрыш: 36.105608177758086, eta: 5e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 25.242371495044065, денежный выигрыш: 61.347979672802154, eta: 5e-05, большая delta: 0
