Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): 9.3427205498011, денежный выигрыш: 94.16577846697126, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 20.666256817795617, денежный выигрыш: 114.83203528476687, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 5.4312997162641174, денежный выигрыш: 120.263335001031, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 0.59262753715217, денежный выигрыш: 120.85596253818316, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 0.5978934358508078, денежный выигрыш: 121.45385597403397, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 0.6031607408690147, денежный выигрыш: 122.05701671490299, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): -2.1781634322465075, денежный выигрыш: 119.87885328265648, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): -6.051928851254957, денежный выигрыш: 113.82692443140152, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): 12.16236833556556, денежный выигрыш: 125.98929276696708, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): -8.861586123464564, денежный выигрыш: 117.12770664350252, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 50 (2007-07-21 00:00:00): 0.4558226013910127, денежный выигрыш: 117.58352924489353, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 51 (2007-07-22 00:00:00): 0.4589383994152185, денежный выигрыш: 118.04246764430874, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 52 (2007-07-23 00:00:00): 0.46202963297989863, денежный выигрыш: 118.50449727728864, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 53 (2007-07-24 00:00:00): -20.166877679246568, денежный выигрыш: 98.33761959804207, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 54 (2007-07-25 00:00:00): 1.5404333208186594, денежный выигрыш: 99.87805291886073, eta: 0.0005, большая delta: 0
