Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): -2.621157889999978, денежный выигрыш: -2.621157889999978, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -3.064459378443484, денежный выигрыш: -5.685617268443462, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -3.0503470432290687, денежный выигрыш: -8.73596431167253, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): 6.573477589700233, денежный выигрыш: -2.1624867219722974, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): 7.026065675982505, денежный выигрыш: 4.863578954010207, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): 5.124406221500745, денежный выигрыш: 9.987985175510953, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): 7.708460142590937, денежный выигрыш: 17.69644531810189, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 21.83234944565922, денежный выигрыш: 39.52879476376111, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 2.295260499101218, денежный выигрыш: 41.82405526286233, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 2.3018602459494955, денежный выигрыш: 44.12591550881183, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 2.3084562336628727, денежный выигрыш: 46.4343717424747, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 2.315032700587406, денежный выигрыш: 48.74940444306211, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 28.098483598643732, денежный выигрыш: 76.84788804170584, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): -16.303724503334053, денежный выигрыш: 60.54416353837179, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): -0.21509557916580307, денежный выигрыш: 60.329067959205986, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): 0.07566656194534205, денежный выигрыш: 60.404734521151326, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): 0.12782935467028048, денежный выигрыш: 60.53256387582161, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): -8.257186276080416, денежный выигрыш: 52.27537759974119, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): 11.850993572616241, денежный выигрыш: 64.12637117235744, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): -19.93866910804855, денежный выигрыш: 44.18770206430889, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): 15.664074808126484, денежный выигрыш: 59.85177687243537, eta: 0.001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): 1.9517073455598208, денежный выигрыш: 61.80348421799519, eta: 0.001, большая delta: 0
