Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): -2.621157889999978, денежный выигрыш: -2.621157889999978, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -3.062883004767504, денежный выигрыш: -5.684040894767482, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -3.098453660461138, денежный выигрыш: -8.78249455522862, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): 5.909920151510635, денежный выигрыш: -2.8725744037179854, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): 6.776264032450963, денежный выигрыш: 3.9036896287329776, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): 2.989872266950821, денежный выигрыш: 6.893561895683799, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): 5.685578802736586, денежный выигрыш: 12.579140698420385, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 15.45915261498457, денежный выигрыш: 28.038293313404957, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 2.0823286854006517, денежный выигрыш: 30.120621998805607, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 2.0829818986918385, денежный выигрыш: 32.203603897497445, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 2.083635096025865, денежный выигрыш: 34.28723899352331, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 2.084288277367879, денежный выигрыш: 36.37152727089119, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 25.27109141203791, денежный выигрыш: 61.642618682929104, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): -6.511612068484858, денежный выигрыш: 55.131006614444246, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 1.1943106131259087, денежный выигрыш: 56.32531722757015, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): 1.1612386949939473, денежный выигрыш: 57.4865559225641, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): 1.165132611228774, денежный выигрыш: 58.65168853379288, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): -4.055771397164757, денежный выигрыш: 54.595917136628124, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): 11.75447977634764, денежный выигрыш: 66.35039691297577, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): -18.811200417339705, денежный выигрыш: 47.53919649563606, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): 12.469261333553284, денежный выигрыш: 60.00845782918935, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): 0.11376438378195264, денежный выигрыш: 60.1222222129713, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 23 (2007-06-24 00:00:00): 0.12715138159755368, денежный выигрыш: 60.24937359456886, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 24 (2007-06-25 00:00:00): 0.1405758155018043, денежный выигрыш: 60.38994941007066, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 25 (2007-06-26 00:00:00): -0.9224429092051568, денежный выигрыш: 59.467506500865504, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 26 (2007-06-27 00:00:00): -7.121371009643098, денежный выигрыш: 52.346135491222405, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 27 (2007-06-28 00:00:00): 5.723072093443209, денежный выигрыш: 58.06920758466561, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 28 (2007-06-29 00:00:00): -1.4781527841121638, денежный выигрыш: 56.59105480055345, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 29 (2007-06-30 00:00:00): 1.3060079485721965, денежный выигрыш: 57.897062749125645, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 30 (2007-07-01 00:00:00): 1.2670964820495607, денежный выигрыш: 59.164159231175205, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 31 (2007-07-02 00:00:00): 1.2696087921534394, денежный выигрыш: 60.433768023328646, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 32 (2007-07-03 00:00:00): 7.628329628635811, денежный выигрыш: 68.06209765196445, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 33 (2007-07-04 00:00:00): 1.9269709815540081, денежный выигрыш: 69.98906863351846, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 34 (2007-07-05 00:00:00): 17.1927914340958, денежный выигрыш: 87.18186006761425, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 35 (2007-07-06 00:00:00): 3.6925776162434296, денежный выигрыш: 90.87443768385768, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 36 (2007-07-07 00:00:00): 1.0435678424716228, денежный выигрыш: 91.9180055263293, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 37 (2007-07-08 00:00:00): 1.0440733354757432, денежный выигрыш: 92.96207886180504, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 38 (2007-07-09 00:00:00): 1.0446116356721957, денежный выигрыш: 94.00669049747724, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 39 (2007-07-10 00:00:00): -8.622962651396541, денежный выигрыш: 85.38372784608069, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): 9.275988284889603, денежный выигрыш: 94.6597161309703, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 21.291129063176566, денежный выигрыш: 115.95084519414686, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 4.859840751379207, денежный выигрыш: 120.81068594552607, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 0.7392484164016743, денежный выигрыш: 121.54993436192775, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 0.7403534734165144, денежный выигрыш: 122.29028783534427, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 0.7414514135857618, денежный выигрыш: 123.03173924893004, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): -2.0510354858261493, денежный выигрыш: 120.98070376310389, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): -8.299322967689594, денежный выигрыш: 112.6813807954143, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): 13.902445730262396, денежный выигрыш: 126.5838265256767, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): -9.521126983220435, денежный выигрыш: 117.06269954245626, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 50 (2007-07-21 00:00:00): 0.6502990527026085, денежный выигрыш: 117.71299859515887, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 51 (2007-07-22 00:00:00): 0.6508839300324825, денежный выигрыш: 118.36388252519134, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 52 (2007-07-23 00:00:00): 0.651444068835775, денежный выигрыш: 119.01532659402712, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 53 (2007-07-24 00:00:00): -20.062621090886076, денежный выигрыш: 98.95270550314103, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 54 (2007-07-25 00:00:00): 2.6703821607528115, денежный выигрыш: 101.62308766389384, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 55 (2007-07-26 00:00:00): -27.373198076229375, денежный выигрыш: 74.24988958766447, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 56 (2007-07-27 00:00:00): -14.570463841081544, денежный выигрыш: 59.67942574658292, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 57 (2007-07-28 00:00:00): 1.8097538504609243, денежный выигрыш: 61.489179597043844, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 58 (2007-07-29 00:00:00): 1.8115526141830505, денежный выигрыш: 63.300732211226894, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 59 (2007-07-30 00:00:00): 1.8133218141348184, денежный выигрыш: 65.11405402536171, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 60 (2007-07-31 00:00:00): 9.64458818932364, денежный выигрыш: 74.75864221468535, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 61 (2007-08-01 00:00:00): -17.02681781266591, денежный выигрыш: 57.73182440201944, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 62 (2007-08-02 00:00:00): 9.809917022685013, денежный выигрыш: 67.54174142470445, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 63 (2007-08-03 00:00:00): 3.8890200015498415, денежный выигрыш: 71.43076142625429, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 64 (2007-08-04 00:00:00): -3.431975591456438, денежный выигрыш: 67.99878583479786, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 65 (2007-08-05 00:00:00): -3.4305957761147132, денежный выигрыш: 64.56819005868314, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 66 (2007-08-06 00:00:00): -3.429260959134605, денежный выигрыш: 61.13892909954854, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 67 (2007-08-07 00:00:00): 5.362283148264688, денежный выигрыш: 66.50121224781323, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 68 (2007-08-08 00:00:00): 16.464395901305153, денежный выигрыш: 82.96560814911838, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 69 (2007-08-09 00:00:00): -23.717786300383175, денежный выигрыш: 59.24782184873521, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 70 (2007-08-10 00:00:00): -11.190201570727094, денежный выигрыш: 48.057620278008116, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 71 (2007-08-11 00:00:00): 6.519533697110272, денежный выигрыш: 54.577153975118385, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 72 (2007-08-12 00:00:00): 6.522858949421697, денежный выигрыш: 61.10001292454008, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 73 (2007-08-13 00:00:00): 6.526120116818859, денежный выигрыш: 67.62613304135894, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 74 (2007-08-14 00:00:00): -4.429352571601498, денежный выигрыш: 63.19678046975744, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 75 (2007-08-15 00:00:00): -19.59698955458522, денежный выигрыш: 43.59979091517222, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 76 (2007-08-16 00:00:00): -20.517786673091837, денежный выигрыш: 23.082004242080384, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 77 (2007-08-17 00:00:00): 17.457196516844743, денежный выигрыш: 40.539200758925126, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 78 (2007-08-18 00:00:00): -2.3918350559237043, денежный выигрыш: 38.14736570300142, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 79 (2007-08-19 00:00:00): -2.391263635171179, денежный выигрыш: 35.75610206783024, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 80 (2007-08-20 00:00:00): -2.390627001131933, денежный выигрыш: 33.36547506669831, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 81 (2007-08-21 00:00:00): -7.576618369820746, денежный выигрыш: 25.788856696877563, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 82 (2007-08-22 00:00:00): 16.276819264432504, денежный выигрыш: 42.06567596131006, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 83 (2007-08-23 00:00:00): -5.57801451124111, денежный выигрыш: 36.487661450068956, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 84 (2007-08-24 00:00:00): 0.19697929213037813, денежный выигрыш: 36.684640742199335, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 85 (2007-08-25 00:00:00): 4.036884009841438, денежный выигрыш: 40.72152475204077, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 86 (2007-08-26 00:00:00): 3.8193152774633843, денежный выигрыш: 44.54084002950415, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 87 (2007-08-27 00:00:00): 3.824205162401518, денежный выигрыш: 48.36504519190567, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 88 (2007-08-28 00:00:00): -5.777350544849323, денежный выигрыш: 42.58769464705635, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 89 (2007-08-29 00:00:00): -4.332004948636608, денежный выигрыш: 38.255689698419744, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 90 (2007-08-30 00:00:00): -1.6117607604269475, денежный выигрыш: 36.6439289379928, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 91 (2007-08-31 00:00:00): 23.031730282569985, денежный выигрыш: 59.67565922056278, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 92 (2007-09-01 00:00:00): -1.760817204685833, денежный выигрыш: 57.91484201587694, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 93 (2007-09-02 00:00:00): -1.6711812780376523, денежный выигрыш: 56.24366073783929, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 94 (2007-09-03 00:00:00): -1.6705183022498074, денежный выигрыш: 54.57314243558948, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 95 (2007-09-04 00:00:00): -4.844577247179699, денежный выигрыш: 49.72856518840978, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 96 (2007-09-05 00:00:00): -0.9984051960692835, денежный выигрыш: 48.730159992340496, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 97 (2007-09-06 00:00:00): 6.089122012045966, денежный выигрыш: 54.819282004386466, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 98 (2007-09-07 00:00:00): -18.358101813139143, денежный выигрыш: 36.46118019124732, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 99 (2007-09-08 00:00:00): -0.3900502699238029, денежный выигрыш: 36.07112992132352, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 100 (2007-09-09 00:00:00): -0.3893057259698418, денежный выигрыш: 35.68182419535368, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 101 (2007-09-10 00:00:00): -0.3885482610242674, денежный выигрыш: 35.29327593432941, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 102 (2007-09-11 00:00:00): 3.1418016717474013, денежный выигрыш: 38.43507760607681, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 103 (2007-09-12 00:00:00): -6.841990671031629, денежный выигрыш: 31.59308693504518, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 104 (2007-09-13 00:00:00): 14.51331180348653, денежный выигрыш: 46.10639873853171, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 105 (2007-09-14 00:00:00): -0.7554297893515165, денежный выигрыш: 45.35096894918019, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 106 (2007-09-15 00:00:00): -3.0414958044261358, денежный выигрыш: 42.30947314475406, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 107 (2007-09-16 00:00:00): -3.038922701210981, денежный выигрыш: 39.27055044354308, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 108 (2007-09-17 00:00:00): -3.2102879957492965, денежный выигрыш: 36.06026244779378, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 109 (2007-09-18 00:00:00): 11.327538790163423, денежный выигрыш: 47.387801237957206, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 110 (2007-09-19 00:00:00): 28.076860642651564, денежный выигрыш: 75.46466188060877, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 111 (2007-09-20 00:00:00): -11.948169561465031, денежный выигрыш: 63.516492319143744, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 112 (2007-09-21 00:00:00): 6.4660246521965385, денежный выигрыш: 69.98251697134029, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 113 (2007-09-22 00:00:00): 5.273474103659955, денежный выигрыш: 75.25599107500024, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 114 (2007-09-23 00:00:00): 5.2834087822755755, денежный выигрыш: 80.53939985727581, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 115 (2007-09-24 00:00:00): 4.3521159677407235, денежный выигрыш: 84.89151582501654, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 116 (2007-09-25 00:00:00): -15.277047371744938, денежный выигрыш: 69.6144684532716, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 117 (2007-09-26 00:00:00): 18.027571611745177, денежный выигрыш: 87.64204006501677, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 118 (2007-09-27 00:00:00): -2.6336754827081297, денежный выигрыш: 85.00836458230864, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 119 (2007-09-28 00:00:00): -5.690060795571669, денежный выигрыш: 79.31830378673698, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 120 (2007-09-29 00:00:00): -4.357829985792242, денежный выигрыш: 74.96047380094474, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 121 (2007-09-30 00:00:00): -4.355334333210165, денежный выигрыш: 70.60513946773457, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 122 (2007-10-01 00:00:00): -4.352780847450444, денежный выигрыш: 66.25235862028413, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 123 (2007-10-02 00:00:00): 19.97895682626619, денежный выигрыш: 86.23131544655033, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 124 (2007-10-03 00:00:00): -14.427893832028092, денежный выигрыш: 71.80342161452224, eta: 0.0001, большая delta: 0
Выигрыш алгоритма Hedge на шаге 125 (2007-10-04 00:00:00): -3.169260827907999, денежный выигрыш: 68.63416078661423, eta: 0.0001, большая delta: 0
