Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): 0.0, денежный выигрыш: 0.0, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -3.812904964139174, денежный выигрыш: -3.812904964139174, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -5.198454128937821, денежный выигрыш: -9.011359093076996, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): -5.396963727424926, денежный выигрыш: -14.408322820501922, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): -11.766639232945646, денежный выигрыш: -26.17496205344757, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): -13.968074019406568, денежный выигрыш: -40.14303607285414, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): -11.637967335470904, денежный выигрыш: -51.78100340832504, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 4.8751027226796, денежный выигрыш: -46.90590068564544, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): -0.687587842386194, денежный выигрыш: -47.593488528031635, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 0.034374764891311846, денежный выигрыш: -47.559113763140324, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 0.03456552155328467, денежный выигрыш: -47.52454824158704, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 0.03440728685246957, денежный выигрыш: -47.49014095473457, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 0.034612059642094094, денежный выигрыш: -47.45552889509248, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): 41.04272148000147, денежный выигрыш: -6.4128074150910095, eta: 0.005, большая delta: 0
