Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): 0.0, денежный выигрыш: 0.0, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -3.812904964139174, денежный выигрыш: -3.812904964139174, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -5.1271143691982415, денежный выигрыш: -8.940019333337416, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): -5.368003976212407, денежный выигрыш: -14.308023309549823, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): -11.729185986180745, денежный выигрыш: -26.03720929573057, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): -13.87023431997955, денежный выигрыш: -39.90744361571012, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): -11.534909082968777, денежный выигрыш: -51.4423526986789, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 4.845122483159927, денежный выигрыш: -46.59723021551898, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): -0.6882725873819324, денежный выигрыш: -47.28550280290091, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 0.034847292282670105, денежный выигрыш: -47.25065551061824, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 0.03483986953244463, денежный выигрыш: -47.21581564108579, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 0.03466699853804115, денежный выигрыш: -47.18114864254775, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 0.034872026918885544, денежный выигрыш: -47.146276615628864, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): 41.03406376848503, денежный выигрыш: -6.112212847143837, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 29.15200583347748, денежный выигрыш: 23.039792986333644, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): -4.113038728113315, денежный выигрыш: 18.926754258220328, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): -4.08474188204427, денежный выигрыш: 14.842012376176058, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): -4.080738520941539, денежный выигрыш: 10.761273855234519, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): -5.740844165031554, денежный выигрыш: 5.020429690202965, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): 54.20549506738274, денежный выигрыш: 59.22592475758571, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): -24.80735995950546, денежный выигрыш: 34.41856479808025, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): -18.56334903720286, денежный выигрыш: 15.855215760877389, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 23 (2007-06-24 00:00:00): -11.855849004625252, денежный выигрыш: 3.9993667562521367, eta: 0.05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 24 (2007-06-25 00:00:00): -11.95894245605879, денежный выигрыш: -7.959575699806653, eta: 0.05, большая delta: 0
