Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): 0.0, денежный выигрыш: 0.0, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -3.812904964139174, денежный выигрыш: -3.812904964139174, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -5.204713779603259, денежный выигрыш: -9.017618743742434, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): -5.399229414121548, денежный выигрыш: -14.416848157863981, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): -11.76958887837475, денежный выигрыш: -26.18643703623873, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): -13.974593093265383, денежный выигрыш: -40.16103012950411, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): -11.644089347751713, денежный выигрыш: -51.80511947725583, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 4.877031457418421, денежный выигрыш: -46.92808801983741, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): -0.6874320619659882, денежный выигрыш: -47.615520081803396, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 0.034336548289454046, денежный выигрыш: -47.58118353351394, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 0.03453986131509776, денежный выигрыш: -47.54664367219885, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 0.03438244647627855, денежный выигрыш: -47.51226122572257, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 0.034587135771010656, денежный выигрыш: -47.477674089951556, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): 41.043554798486895, денежный выигрыш: -6.434119291464661, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 28.99651029087965, денежный выигрыш: 22.56239099941499, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): -4.090356729424597, денежный выигрыш: 18.472034269990395, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): -4.089808405468003, денежный выигрыш: 14.382225864522393, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): -4.089532385378057, денежный выигрыш: 10.292693479144337, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): -5.751673272194955, денежный выигрыш: 4.541020206949382, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): 54.33161822665367, денежный выигрыш: 58.87263843360305, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): -24.67918071163956, денежный выигрыш: 34.19345772196349, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): -18.830312127015954, денежный выигрыш: 15.363145594947536, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 23 (2007-06-24 00:00:00): -12.074284084584978, денежный выигрыш: 3.2888615103625582, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 24 (2007-06-25 00:00:00): -12.073874526958566, денежный выигрыш: -8.785013016596007, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 25 (2007-06-26 00:00:00): -12.073487612673256, денежный выигрыш: -20.858500629269265, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 26 (2007-06-27 00:00:00): 31.671892576353923, денежный выигрыш: 10.813391947084657, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 27 (2007-06-28 00:00:00): -27.199301770050607, денежный выигрыш: -16.38590982296595, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 28 (2007-06-29 00:00:00): 2.3464541518850326, денежный выигрыш: -14.039455671080917, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 29 (2007-06-30 00:00:00): -21.24082998562164, денежный выигрыш: -35.28028565670256, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 30 (2007-07-01 00:00:00): -1.5070019281372358, денежный выигрыш: -36.787287584839795, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 31 (2007-07-02 00:00:00): -1.5070697308115684, денежный выигрыш: -38.29435731565136, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 32 (2007-07-03 00:00:00): -1.5070123261703592, денежный выигрыш: -39.80136964182172, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 33 (2007-07-04 00:00:00): 49.926818391304906, денежный выигрыш: 10.125448749483184, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 34 (2007-07-05 00:00:00): -3.6214863908608614, денежный выигрыш: 6.5039623586223225, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 35 (2007-07-06 00:00:00): 30.833418707829622, денежный выигрыш: 37.33738106645195, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 36 (2007-07-07 00:00:00): 21.837389586061988, денежный выигрыш: 59.174770652513935, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 37 (2007-07-08 00:00:00): 3.2508986708683256, денежный выигрыш: 62.42566932338226, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 38 (2007-07-09 00:00:00): 3.250614152070854, денежный выигрыш: 65.67628347545312, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 39 (2007-07-10 00:00:00): 3.250688579176754, денежный выигрыш: 68.92697205462987, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): -25.199478674765874, денежный выигрыш: 43.727493379864, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 26.54163636626807, денежный выигрыш: 70.26912974613207, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 47.10256298248205, денежный выигрыш: 117.37169272861411, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 7.405532086000586, денежный выигрыш: 124.7772248146147, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 0.3153721887974623, денежный выигрыш: 125.09259700341217, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 0.31548553551500874, денежный выигрыш: 125.40808253892718, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): 0.3154152284783955, денежный выигрыш: 125.72349776740558, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): 19.885984884591466, денежный выигрыш: 145.60948265199704, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): -27.242993817594066, денежный выигрыш: 118.36648883440297, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): 38.09498297556218, денежный выигрыш: 156.46147180996516, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 50 (2007-07-21 00:00:00): -22.695773959700645, денежный выигрыш: 133.76569785026453, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 51 (2007-07-22 00:00:00): 5.745017052192821, денежный выигрыш: 139.51071490245735, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 52 (2007-07-23 00:00:00): 5.745450800132069, денежный выигрыш: 145.2561657025894, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 53 (2007-07-24 00:00:00): 5.745673041467115, денежный выигрыш: 151.00183874405653, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 54 (2007-07-25 00:00:00): -51.8618729240103, денежный выигрыш: 99.13996582004623, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 55 (2007-07-26 00:00:00): 9.979946772535278, денежный выигрыш: 109.1199125925815, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 56 (2007-07-27 00:00:00): -46.74482557510182, денежный выигрыш: 62.37508701747968, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 57 (2007-07-28 00:00:00): -42.44183425780137, денежный выигрыш: 19.93325275967831, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 58 (2007-07-29 00:00:00): 0.9354188278609166, денежный выигрыш: 20.86867158753923, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 59 (2007-07-30 00:00:00): 0.9354957332216663, денежный выигрыш: 21.804167320760897, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 60 (2007-07-31 00:00:00): 0.9355049607558495, денежный выигрыш: 22.739672281516746, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 61 (2007-08-01 00:00:00): 22.93903705917748, денежный выигрыш: 45.678709340694226, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 62 (2007-08-02 00:00:00): -59.193170369792966, денежный выигрыш: -13.51446102909874, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 63 (2007-08-03 00:00:00): 15.523763760733118, денежный выигрыш: 2.009302731634378, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 64 (2007-08-04 00:00:00): 9.199060699417668, денежный выигрыш: 11.208363431052046, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 65 (2007-08-05 00:00:00): -12.747653293971023, денежный выигрыш: -1.5392898629189773, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 66 (2007-08-06 00:00:00): -12.746528758409653, денежный выигрыш: -14.28581862132863, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 67 (2007-08-07 00:00:00): -12.746038527953951, денежный выигрыш: -27.03185714928258, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 68 (2007-08-08 00:00:00): -8.061767995943503, денежный выигрыш: -35.093625145226085, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 69 (2007-08-09 00:00:00): 43.04066542036169, денежный выигрыш: 7.947040275135606, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 70 (2007-08-10 00:00:00): -44.5829618449012, денежный выигрыш: -36.63592156976559, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 71 (2007-08-11 00:00:00): -49.32461429845171, денежный выигрыш: -85.9605358682173, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 72 (2007-08-12 00:00:00): 16.997637280098978, денежный выигрыш: -68.96289858811832, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 73 (2007-08-13 00:00:00): 17.001868039802112, денежный выигрыш: -51.96103054831621, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 74 (2007-08-14 00:00:00): 17.00295185042392, денежный выигрыш: -34.95807869789229, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 75 (2007-08-15 00:00:00): -9.68764069574962, денежный выигрыш: -44.64571939364191, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 76 (2007-08-16 00:00:00): -43.234297606269934, денежный выигрыш: -87.88001699991185, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 77 (2007-08-17 00:00:00): -42.86315632075531, денежный выигрыш: -130.74317332066715, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 78 (2007-08-18 00:00:00): 34.83809516451974, денежный выигрыш: -95.90507815614741, eta: 0.0005, большая delta: 0
