Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): 0.0, денежный выигрыш: 0.0, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -0.29633117594762903, денежный выигрыш: -0.29633117594762903, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -0.2961559499465905, денежный выигрыш: -0.5924871258942195, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): -0.2812178863964021, денежный выигрыш: -0.8737050122906216, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): 0.8094125269171266, денежный выигрыш: -0.06429248537349497, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): -0.3388878299483276, денежный выигрыш: -0.4031803153218226, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): -1.0421601858672889, денежный выигрыш: -1.4453405011891114, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): -0.018765156053959554, денежный выигрыш: -1.4641056572430708, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 1.54370913090654, денежный выигрыш: 0.0796034736634692, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 0.7306011090519721, денежный выигрыш: 0.8102045827154413, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 0.7347807499539122, денежный выигрыш: 1.5449853326693535, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 0.7384895275247049, денежный выигрыш: 2.283474860194058, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 0.741886999620957, денежный выигрыш: 3.0253618598150154, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): 5.6589629767731084, денежный выигрыш: 8.684324836588123, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 2.9671387176984556, денежный выигрыш: 11.651463554286579, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): 0.2773302183481253, денежный выигрыш: 11.928793772634704, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): 0.2768564151223911, денежный выигрыш: 12.205650187757094, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): 0.2779506749456513, денежный выигрыш: 12.483600862702746, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): -0.5450079902362412, денежный выигрыш: 11.938592872466504, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): 2.2210373700179002, денежный выигрыш: 14.159630242484404, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): -4.03914754179887, денежный выигрыш: 10.120482700685535, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): 1.8055325322531357, денежный выигрыш: 11.92601523293867, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 23 (2007-06-24 00:00:00): -0.7632833896499756, денежный выигрыш: 11.162731843288695, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 24 (2007-06-25 00:00:00): -0.7553375538769198, денежный выигрыш: 10.407394289411775, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 25 (2007-06-26 00:00:00): -0.7472040629144069, денежный выигрыш: 9.660190226497368, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 26 (2007-06-27 00:00:00): 1.6370294878509812, денежный выигрыш: 11.29721971434835, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 27 (2007-06-28 00:00:00): -1.1679177623995982, денежный выигрыш: 10.12930195194875, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 28 (2007-06-29 00:00:00): 2.0474630638899978, денежный выигрыш: 12.176765015838749, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 29 (2007-06-30 00:00:00): 0.8375626874669225, денежный выигрыш: 13.014327703305671, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 30 (2007-07-01 00:00:00): 0.8287838554810039, денежный выигрыш: 13.843111558786674, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 31 (2007-07-02 00:00:00): 0.8325448123865535, денежный выигрыш: 14.675656371173227, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 32 (2007-07-03 00:00:00): 0.8362181547570535, денежный выигрыш: 15.511874525930281, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 33 (2007-07-04 00:00:00): 0.8037897429724749, денежный выигрыш: 16.315664268902758, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 34 (2007-07-05 00:00:00): -0.802049985696526, денежный выигрыш: 15.513614283206232, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 35 (2007-07-06 00:00:00): 2.399406935838215, денежный выигрыш: 17.913021219044445, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 36 (2007-07-07 00:00:00): 0.3041201151386414, денежный выигрыш: 18.217141334183086, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 37 (2007-07-08 00:00:00): 0.5944204471406315, денежный выигрыш: 18.811561781323718, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 38 (2007-07-09 00:00:00): 0.5959807655221667, денежный выигрыш: 19.407542546845885, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 39 (2007-07-10 00:00:00): 0.5975179585341173, денежный выигрыш: 20.00506050538, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): -3.149108380876111, денежный выигрыш: 16.85595212450389, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 2.0641515090704905, денежный выигрыш: 18.92010363357438, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 5.284748814736586, денежный выигрыш: 24.204852448310966, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 2.108614896215878, денежный выигрыш: 26.313467344526845, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 0.5322809320978517, денежный выигрыш: 26.845748276624697, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 0.5423180663826808, денежный выигрыш: 27.388066343007377, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): 0.5529304982211698, денежный выигрыш: 27.940996841228547, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): -0.74314467616802, денежный выигрыш: 27.197852165060528, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): -2.390294118261492, денежный выигрыш: 24.807558046799038, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): 3.872754959910263, денежный выигрыш: 28.6803130067093, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 50 (2007-07-21 00:00:00): -2.327208351327274, денежный выигрыш: 26.353104655382026, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 51 (2007-07-22 00:00:00): 0.16637953439084044, денежный выигрыш: 26.519484189772868, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 52 (2007-07-23 00:00:00): 0.1658748415825828, денежный выигрыш: 26.68535903135545, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 53 (2007-07-24 00:00:00): 0.16558228932851887, денежный выигрыш: 26.85094132068397, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 54 (2007-07-25 00:00:00): -5.209874933367775, денежный выигрыш: 21.641066387316194, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 55 (2007-07-26 00:00:00): 0.5413377060983819, денежный выигрыш: 22.182404093414576, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 56 (2007-07-27 00:00:00): -6.2222364907119845, денежный выигрыш: 15.96016760270259, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 57 (2007-07-28 00:00:00): -3.254779021004537, денежный выигрыш: 12.705388581698053, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 58 (2007-07-29 00:00:00): 0.5683879789570627, денежный выигрыш: 13.273776560655115, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 59 (2007-07-30 00:00:00): 0.5686408027802308, денежный выигрыш: 13.842417363435345, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 60 (2007-07-31 00:00:00): 0.5693656303621129, денежный выигрыш: 14.411782993797457, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 61 (2007-08-01 00:00:00): 2.6812571943304673, денежный выигрыш: 17.093040188127926, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 62 (2007-08-02 00:00:00): -3.4823479337084624, денежный выигрыш: 13.610692254419464, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 63 (2007-08-03 00:00:00): 2.4615780837642895, денежный выигрыш: 16.072270338183753, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 64 (2007-08-04 00:00:00): 1.6557874612287347, денежный выигрыш: 17.728057799412486, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 65 (2007-08-05 00:00:00): -1.0730816917164223, денежный выигрыш: 16.654976107696065, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 66 (2007-08-06 00:00:00): -1.0689716859511953, денежный выигрыш: 15.58600442174487, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 67 (2007-08-07 00:00:00): -1.0644656842008484, денежный выигрыш: 14.52153873754402, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 68 (2007-08-08 00:00:00): 1.1236992620273945, денежный выигрыш: 15.645237999571414, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 69 (2007-08-09 00:00:00): 4.541676388189902, денежный выигрыш: 20.186914387761316, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 70 (2007-08-10 00:00:00): -5.662066547607689, денежный выигрыш: 14.524847840153626, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 71 (2007-08-11 00:00:00): -2.6117461832653635, денежный выигрыш: 11.913101656888262, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 72 (2007-08-12 00:00:00): 1.182261169464957, денежный выигрыш: 13.095362826353218, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 73 (2007-08-13 00:00:00): 1.1828031907208936, денежный выигрыш: 14.278166017074112, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 74 (2007-08-14 00:00:00): 1.1829357467202732, денежный выигрыш: 15.461101763794385, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 75 (2007-08-15 00:00:00): -1.096125936353708, денежный выигрыш: 14.364975827440677, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 76 (2007-08-16 00:00:00): -3.662392996906295, денежный выигрыш: 10.702582830534382, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 77 (2007-08-17 00:00:00): -3.3964456822578346, денежный выигрыш: 7.306137148276548, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 78 (2007-08-18 00:00:00): 4.970787586444081, денежный выигрыш: 12.27692473472063, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 79 (2007-08-19 00:00:00): -0.5046124274662488, денежный выигрыш: 11.772312307254381, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 80 (2007-08-20 00:00:00): -0.5026349347144232, денежный выигрыш: 11.269677372539958, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 81 (2007-08-21 00:00:00): -0.5010330716122259, денежный выигрыш: 10.768644300927733, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 82 (2007-08-22 00:00:00): -1.2380589956809034, денежный выигрыш: 9.530585305246829, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 83 (2007-08-23 00:00:00): 2.34414836928317, денежный выигрыш: 11.874733674529999, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 84 (2007-08-24 00:00:00): 0.07655896979669384, денежный выигрыш: 11.951292644326692, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 85 (2007-08-25 00:00:00): -0.43019124772574924, денежный выигрыш: 11.521101396600942, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 86 (2007-08-26 00:00:00): 0.540425996021729, денежный выигрыш: 12.061527392622672, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 87 (2007-08-27 00:00:00): 0.5401799636552025, денежный выигрыш: 12.601707356277874, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 88 (2007-08-28 00:00:00): 0.5401682760582847, денежный выигрыш: 13.14187563233616, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 89 (2007-08-29 00:00:00): -0.9258894920304288, денежный выигрыш: 12.21598614030573, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 90 (2007-08-30 00:00:00): -0.6971264572546761, денежный выигрыш: 11.518859683051055, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 91 (2007-08-31 00:00:00): -0.3062833071743861, денежный выигрыш: 11.212576375876669, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 92 (2007-09-01 00:00:00): 3.199592513966103, денежный выигрыш: 14.412168889842771, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 93 (2007-09-02 00:00:00): -0.2949606815373205, денежный выигрыш: 14.11720820830545, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 94 (2007-09-03 00:00:00): -0.2947253504501706, денежный выигрыш: 13.822482857855281, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 95 (2007-09-04 00:00:00): -0.2946152836585107, денежный выигрыш: 13.52786757419677, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 96 (2007-09-05 00:00:00): -0.514699572688123, денежный выигрыш: 13.013168001508648, eta: 0.005, большая delta: 0
