Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): 0.0, денежный выигрыш: 0.0, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -0.2455587754925174, денежный выигрыш: -0.2455587754925174, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -0.2452525905325091, денежный выигрыш: -0.4908113660250265, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): -0.24494916879256426, денежный выигрыш: -0.7357605348175907, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): 0.862710666788424, денежный выигрыш: 0.12695013197083327, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): 0.5407987327254863, денежный выигрыш: 0.6677488646963196, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): 0.10472716039680431, денежный выигрыш: 0.7724760250931239, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 0.360215226921376, денежный выигрыш: 1.1326912520144998, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 1.9132577041644827, денежный выигрыш: 3.0459489561789823, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 0.3972340432939725, денежный выигрыш: 3.443182999472955, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 0.39769458791254525, денежный выигрыш: 3.8408775873855, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 0.3979013016273399, денежный выигрыш: 4.23877888901284, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 0.3980685673227079, денежный выигрыш: 4.636847456335548, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): 3.474106966933891, денежный выигрыш: 8.11095442326944, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 0.4269178538470756, денежный выигрыш: 8.537872277116517, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): 0.1372208922987573, денежный выигрыш: 8.675093169415273, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): 0.13731397257259623, денежный выигрыш: 8.812407141987869, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): 0.13775039113002388, денежный выигрыш: 8.950157533117892, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): -0.6387706355928581, денежный выигрыш: 8.311386897525034, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): 1.3981518679181824, денежный выигрыш: 9.709538765443217, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 21 (2007-06-22 00:00:00): -2.5606154702772663, денежный выигрыш: 7.14892329516595, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 22 (2007-06-23 00:00:00): 1.8238177526116042, денежный выигрыш: 8.972741047777554, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 23 (2007-06-24 00:00:00): -0.12044885718774334, денежный выигрыш: 8.85229219058981, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 24 (2007-06-25 00:00:00): -0.11908865932187575, денежный выигрыш: 8.733203531267936, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 25 (2007-06-26 00:00:00): -0.1176421237672722, денежный выигрыш: 8.615561407500664, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 26 (2007-06-27 00:00:00): 0.3355498133888169, денежный выигрыш: 8.95111122088948, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 27 (2007-06-28 00:00:00): -0.8335824689405241, денежный выигрыш: 8.117528751948957, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 28 (2007-06-29 00:00:00): 1.0126570094549168, денежный выигрыш: 9.130185761403872, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 29 (2007-06-30 00:00:00): 0.12754579190340767, денежный выигрыш: 9.25773155330728, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 30 (2007-07-01 00:00:00): 0.3357986761322772, денежный выигрыш: 9.593530229439558, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 31 (2007-07-02 00:00:00): 0.3359430011314316, денежный выигрыш: 9.92947323057099, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 32 (2007-07-03 00:00:00): 0.33618280984386384, денежный выигрыш: 10.265656040414854, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 33 (2007-07-04 00:00:00): 0.7782772011590688, денежный выигрыш: 11.043933241573923, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 34 (2007-07-05 00:00:00): -0.03514279699432215, денежный выигрыш: 11.008790444579601, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 35 (2007-07-06 00:00:00): 1.711997113344153, денежный выигрыш: 12.720787557923753, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 36 (2007-07-07 00:00:00): 0.28839135496753854, денежный выигрыш: 13.009178912891292, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 37 (2007-07-08 00:00:00): 0.2536904835008723, денежный выигрыш: 13.262869396392164, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 38 (2007-07-09 00:00:00): 0.253836008316374, денежный выигрыш: 13.516705404708539, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 39 (2007-07-10 00:00:00): 0.2539374527239335, денежный выигрыш: 13.770642857432472, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): -1.4646626562742935, денежный выигрыш: 12.305980201158178, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 1.292720059115153, денежный выигрыш: 13.598700260273331, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 3.0063616211608606, денежный выигрыш: 16.605061881434192, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 1.1981703984775678, денежный выигрыш: 17.80323227991176, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 0.15208828124531565, денежный выигрыш: 17.955320561157077, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 0.15271616345252775, денежный выигрыш: 18.108036724609605, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): 0.15310508866093075, денежный выигрыш: 18.261141813270534, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): -0.24853400403982354, денежный выигрыш: 18.012607809230712, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): -1.0254496558208828, денежный выигрыш: 16.98715815340983, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): 1.9580487189029145, денежный выигрыш: 18.945206872312745, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 50 (2007-07-21 00:00:00): -1.6328721213079291, денежный выигрыш: 17.312334751004816, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 51 (2007-07-22 00:00:00): 0.11902359162354578, денежный выигрыш: 17.43135834262836, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 52 (2007-07-23 00:00:00): 0.11947568946402246, денежный выигрыш: 17.550834032092382, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 53 (2007-07-24 00:00:00): 0.1195952477693297, денежный выигрыш: 17.67042927986171, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 54 (2007-07-25 00:00:00): -2.996977110729029, денежный выигрыш: 14.673452169132682, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 55 (2007-07-26 00:00:00): 0.29765457621643854, денежный выигрыш: 14.97110674534912, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 56 (2007-07-27 00:00:00): -3.4363701983370354, денежный выигрыш: 11.534736547012084, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 57 (2007-07-28 00:00:00): -2.0151453762839764, денежный выигрыш: 9.519591170728107, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 58 (2007-07-29 00:00:00): 0.3273111985626502, денежный выигрыш: 9.846902369290758, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 59 (2007-07-30 00:00:00): 0.3279825769232847, денежный выигрыш: 10.174884946214043, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 60 (2007-07-31 00:00:00): 0.3282229323649227, денежный выигрыш: 10.503107878578966, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 61 (2007-08-01 00:00:00): 1.4687054601116165, денежный выигрыш: 11.971813338690582, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 62 (2007-08-02 00:00:00): -2.1089576928164004, денежный выигрыш: 9.862855645874182, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 63 (2007-08-03 00:00:00): 1.4635279862207398, денежный выигрыш: 11.326383632094922, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 64 (2007-08-04 00:00:00): 0.7504740978516246, денежный выигрыш: 12.076857729946546, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 65 (2007-08-05 00:00:00): -0.5471533535607254, денежный выигрыш: 11.529704376385821, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 66 (2007-08-06 00:00:00): -0.5462433676182833, денежный выигрыш: 10.983461008767538, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 67 (2007-08-07 00:00:00): -0.5459002221902663, денежный выигрыш: 10.437560786577272, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 68 (2007-08-08 00:00:00): 0.838617448664088, денежный выигрыш: 11.27617823524136, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 69 (2007-08-09 00:00:00): 2.4193387505784023, денежный выигрыш: 13.695516985819763, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 70 (2007-08-10 00:00:00): -3.347183401053108, денежный выигрыш: 10.348333584766655, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 71 (2007-08-11 00:00:00): -1.3291839776349714, денежный выигрыш: 9.019149607131684, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 72 (2007-08-12 00:00:00): 0.7853287016728261, денежный выигрыш: 9.80447830880451, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 73 (2007-08-13 00:00:00): 0.7857901814507469, денежный выигрыш: 10.590268490255257, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 74 (2007-08-14 00:00:00): 0.7859003204089682, денежный выигрыш: 11.376168810664225, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 75 (2007-08-15 00:00:00): -0.6653544339270158, денежный выигрыш: 10.71081437673721, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 76 (2007-08-16 00:00:00): -2.2906522650841037, денежный выигрыш: 8.420162111653106, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 77 (2007-08-17 00:00:00): -2.2715841516218642, денежный выигрыш: 6.148577960031242, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 78 (2007-08-18 00:00:00): 2.942274974471937, денежный выигрыш: 9.090852934503179, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 79 (2007-08-19 00:00:00): -0.2758536200113125, денежный выигрыш: 8.814999314491866, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 80 (2007-08-20 00:00:00): -0.27561512898447244, денежный выигрыш: 8.539384185507393, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 81 (2007-08-21 00:00:00): -0.275563992104408, денежный выигрыш: 8.263820193402985, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 82 (2007-08-22 00:00:00): -0.7594804180049204, денежный выигрыш: 7.504339775398065, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 83 (2007-08-23 00:00:00): 1.5133794975829025, денежный выигрыш: 9.017719272980967, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 84 (2007-08-24 00:00:00): -0.44604047090925436, денежный выигрыш: 8.571678802071713, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 85 (2007-08-25 00:00:00): -0.1216453446495073, денежный выигрыш: 8.450033457422204, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 86 (2007-08-26 00:00:00): 0.3151622561103521, денежный выигрыш: 8.765195713532556, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 87 (2007-08-27 00:00:00): 0.31542088211532493, денежный выигрыш: 9.08061659564788, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 88 (2007-08-28 00:00:00): 0.31553672575668823, денежный выигрыш: 9.396153321404569, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 89 (2007-08-29 00:00:00): -0.4042663134972428, денежный выигрыш: 8.991887007907327, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 90 (2007-08-30 00:00:00): -0.5296160881240919, денежный выигрыш: 8.462270919783235, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 91 (2007-08-31 00:00:00): -0.2469851920112019, денежный выигрыш: 8.215285727772033, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 92 (2007-09-01 00:00:00): 2.67445998224143, денежный выигрыш: 10.889745710013463, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 93 (2007-09-02 00:00:00): -0.21249203028821279, денежный выигрыш: 10.67725367972525, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 94 (2007-09-03 00:00:00): -0.2123445262291085, денежный выигрыш: 10.464909153496142, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 95 (2007-09-04 00:00:00): -0.21230932451830864, денежный выигрыш: 10.252599828977834, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 96 (2007-09-05 00:00:00): -0.42594115504358887, денежный выигрыш: 9.826658673934245, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 97 (2007-09-06 00:00:00): 0.0028232272700763196, денежный выигрыш: 9.829481901204321, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 98 (2007-09-07 00:00:00): 1.0209389463774783, денежный выигрыш: 10.8504208475818, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 99 (2007-09-08 00:00:00): -1.767161846537207, денежный выигрыш: 9.083259001044594, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 100 (2007-09-09 00:00:00): -0.05164790794578929, денежный выигрыш: 9.031611093098805, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 101 (2007-09-10 00:00:00): -0.051709333041461025, денежный выигрыш: 8.979901760057343, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 102 (2007-09-11 00:00:00): -0.05169857034997494, денежный выигрыш: 8.928203189707368, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 103 (2007-09-12 00:00:00): 0.4489065176850569, денежный выигрыш: 9.377109707392425, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 104 (2007-09-13 00:00:00): -0.6133741300254326, денежный выигрыш: 8.763735577366992, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 105 (2007-09-14 00:00:00): 2.4856833100623077, денежный выигрыш: 11.2494188874293, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 106 (2007-09-15 00:00:00): -0.06821580596253699, денежный выигрыш: 11.181203081466764, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 107 (2007-09-16 00:00:00): -0.21492688464492754, денежный выигрыш: 10.966276196821836, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 108 (2007-09-17 00:00:00): -0.21389698015085903, денежный выигрыш: 10.752379216670978, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 109 (2007-09-18 00:00:00): -0.21342281833360846, денежный выигрыш: 10.538956398337369, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 110 (2007-09-19 00:00:00): 0.9226704707969877, денежный выигрыш: 11.461626869134356, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 111 (2007-09-20 00:00:00): 3.000001442838964, денежный выигрыш: 14.461628311973321, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 112 (2007-09-21 00:00:00): -1.7493450066452578, денежный выигрыш: 12.712283305328063, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 113 (2007-09-22 00:00:00): 0.09915037096964183, денежный выигрыш: 12.811433676297705, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 114 (2007-09-23 00:00:00): 0.27896822131481613, денежный выигрыш: 13.090401897612521, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 115 (2007-09-24 00:00:00): 0.2799969281663186, денежный выигрыш: 13.370398825778839, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 116 (2007-09-25 00:00:00): 0.28064231991614175, денежный выигрыш: 13.65104114569498, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 117 (2007-09-26 00:00:00): -1.3473011378220303, денежный выигрыш: 12.30374000787295, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 118 (2007-09-27 00:00:00): 1.847698278107345, денежный выигрыш: 14.151438285980294, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 119 (2007-09-28 00:00:00): 0.056011266388355865, денежный выигрыш: 14.20744955236865, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 120 (2007-09-29 00:00:00): 0.004319351290926083, денежный выигрыш: 14.211768903659577, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 121 (2007-09-30 00:00:00): -0.4755256970981785, денежный выигрыш: 13.736243206561397, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 122 (2007-10-01 00:00:00): -0.47534295287201134, денежный выигрыш: 13.260900253689385, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 123 (2007-10-02 00:00:00): -0.47521465953408565, денежный выигрыш: 12.7856855941553, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 124 (2007-10-03 00:00:00): 3.164106050995135, денежный выигрыш: 15.949791645150436, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 125 (2007-10-04 00:00:00): -1.6739414796930927, денежный выигрыш: 14.275850165457342, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 126 (2007-10-05 00:00:00): -0.01118243769363564, денежный выигрыш: 14.264667727763706, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 127 (2007-10-06 00:00:00): 1.4156924485429228, денежный выигрыш: 15.680360176306628, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 128 (2007-10-07 00:00:00): 0.24114980058450666, денежный выигрыш: 15.921509976891135, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 129 (2007-10-08 00:00:00): 0.24140455822080104, денежный выигрыш: 16.162914535111938, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 130 (2007-10-09 00:00:00): 0.2416114449880676, денежный выигрыш: 16.404525980100004, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 131 (2007-10-10 00:00:00): 0.9652934783679747, денежный выигрыш: 17.36981945846798, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 132 (2007-10-11 00:00:00): -0.6789301998135361, денежный выигрыш: 16.690889258654444, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 133 (2007-10-12 00:00:00): 1.635182122623659, денежный выигрыш: 18.3260713812781, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 134 (2007-10-13 00:00:00): -0.9333149028043658, денежный выигрыш: 17.392756478473736, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 135 (2007-10-14 00:00:00): 0.38049039768644405, денежный выигрыш: 17.77324687616018, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 136 (2007-10-15 00:00:00): 0.38069334656462767, денежный выигрыш: 18.153940222724806, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 137 (2007-10-16 00:00:00): 0.3807282515546591, денежный выигрыш: 18.534668474279464, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 138 (2007-10-17 00:00:00): -1.2658026387466677, денежный выигрыш: 17.268865835532797, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 139 (2007-10-18 00:00:00): 1.1702811602547152, денежный выигрыш: 18.43914699578751, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 140 (2007-10-19 00:00:00): -1.8617221139418856, денежный выигрыш: 16.577424881845623, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 141 (2007-10-20 00:00:00): -1.2624908835189408, денежный выигрыш: 15.314933998326682, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 142 (2007-10-21 00:00:00): -0.8122601413769502, денежный выигрыш: 14.502673856949732, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 143 (2007-10-22 00:00:00): -0.8121571762053028, денежный выигрыш: 13.69051668074443, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 144 (2007-10-23 00:00:00): -0.8120146522506728, денежный выигрыш: 12.878502028493758, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 145 (2007-10-24 00:00:00): 1.0394339379670006, денежный выигрыш: 13.917935966460758, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 146 (2007-10-25 00:00:00): -0.46988806266113614, денежный выигрыш: 13.448047903799623, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 147 (2007-10-26 00:00:00): 1.5989422281670715, денежный выигрыш: 15.046990131966695, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 148 (2007-10-27 00:00:00): 2.390687424874818, денежный выигрыш: 17.437677556841514, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 149 (2007-10-28 00:00:00): 0.5342235883853332, денежный выигрыш: 17.97190114522685, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 150 (2007-10-29 00:00:00): 0.5342124069596125, денежный выигрыш: 18.50611355218646, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 151 (2007-10-30 00:00:00): 0.5347576681609917, денежный выигрыш: 19.04087122034745, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): 0.0, денежный выигрыш: 0.0, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -0.2455587754925174, денежный выигрыш: -0.2455587754925174, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -0.2452525905325091, денежный выигрыш: -0.4908113660250265, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): -0.24494916879256426, денежный выигрыш: -0.7357605348175907, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): 0.862710666788424, денежный выигрыш: 0.12695013197083327, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): 0.5407987327254863, денежный выигрыш: 0.6677488646963196, eta: 0.005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): 0.10472716039680431, денежный выигрыш: 0.7724760250931239, eta: 0.005, большая delta: 0
