<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
RTKM;D;27/09/07;00:00:00;261.9800000
RTKM;D;28/09/07;00:00:00;262.7000000
RTKM;D;01/10/07;00:00:00;261.2500000
RTKM;D;02/10/07;00:00:00;266.6000000
RTKM;D;03/10/07;00:00:00;265.0100000
RTKM;D;04/10/07;00:00:00;263.9900000
RTKM;D;05/10/07;00:00:00;264.5300000
RTKM;D;08/10/07;00:00:00;268.6000000
RTKM;D;09/10/07;00:00:00;267.0000000
RTKM;D;10/10/07;00:00:00;265.0000000
RTKM;D;11/10/07;00:00:00;264.5300000
RTKM;D;12/10/07;00:00:00;260.6000000
RTKM;D;15/10/07;00:00:00;262.6900000
RTKM;D;16/10/07;00:00:00;255.6600000
RTKM;D;17/10/07;00:00:00;257.6000000
RTKM;D;18/10/07;00:00:00;253.1600000
RTKM;D;19/10/07;00:00:00;248.3000000
RTKM;D;22/10/07;00:00:00;243.4800000
RTKM;D;23/10/07;00:00:00;244.0000000
RTKM;D;24/10/07;00:00:00;242.5000000
RTKM;D;25/10/07;00:00:00;244.7700000
RTKM;D;26/10/07;00:00:00;245.0000000
RTKM;D;29/10/07;00:00:00;244.2000000
RTKM;D;30/10/07;00:00:00;244.0600000
RTKM;D;31/10/07;00:00:00;243.4900000
RTKM;D;01/11/07;00:00:00;243.6000000
RTKM;D;02/11/07;00:00:00;241.8000000
RTKM;D;06/11/07;00:00:00;239.5000000
RTKM;D;07/11/07;00:00:00;237.5000000
RTKM;D;08/11/07;00:00:00;238.3600000
RTKM;D;09/11/07;00:00:00;237.2500000
RTKM;D;12/11/07;00:00:00;237.5000000
RTKM;D;13/11/07;00:00:00;237.7700000
RTKM;D;14/11/07;00:00:00;238.9800000
RTKM;D;15/11/07;00:00:00;236.7900000
RTKM;D;16/11/07;00:00:00;242.2000000
RTKM;D;19/11/07;00:00:00;241.2300000
RTKM;D;20/11/07;00:00:00;241.8000000
RTKM;D;21/11/07;00:00:00;239.9300000
RTKM;D;22/11/07;00:00:00;241.5000000
RTKM;D;23/11/07;00:00:00;240.2500000
RTKM;D;26/11/07;00:00:00;245.1400000
RTKM;D;27/11/07;00:00:00;245.8000000
RTKM;D;28/11/07;00:00:00;253.9900000
