<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ROSN;D;02/04/08;00:00:00;213.7700000
ROSN;D;03/04/08;00:00:00;212.4000000
ROSN;D;04/04/08;00:00:00;213.4000000
ROSN;D;07/04/08;00:00:00;219.8500000
ROSN;D;08/04/08;00:00:00;216.1000000
ROSN;D;09/04/08;00:00:00;220.6000000
ROSN;D;10/04/08;00:00:00;227.2000000
ROSN;D;11/04/08;00:00:00;222.5000000
ROSN;D;14/04/08;00:00:00;224.0000000
ROSN;D;15/04/08;00:00:00;231.0000000
ROSN;D;16/04/08;00:00:00;231.9000000
ROSN;D;17/04/08;00:00:00;227.8000000
ROSN;D;18/04/08;00:00:00;231.9600000
ROSN;D;21/04/08;00:00:00;229.0000000
ROSN;D;22/04/08;00:00:00;231.1300000
ROSN;D;23/04/08;00:00:00;233.8000000
ROSN;D;24/04/08;00:00:00;229.8700000
ROSN;D;25/04/08;00:00:00;232.3200000
ROSN;D;28/04/08;00:00:00;233.0100000
ROSN;D;29/04/08;00:00:00;232.3000000
ROSN;D;30/04/08;00:00:00;231.2000000
ROSN;D;04/05/08;00:00:00;232.3000000
ROSN;D;05/05/08;00:00:00;231.5000000
ROSN;D;06/05/08;00:00:00;229.7000000
ROSN;D;07/05/08;00:00:00;232.9900000
ROSN;D;08/05/08;00:00:00;248.5600000
ROSN;D;12/05/08;00:00:00;259.5000000
ROSN;D;13/05/08;00:00:00;264.5100000
ROSN;D;14/05/08;00:00:00;280.9000000
ROSN;D;15/05/08;00:00:00;273.3000000
ROSN;D;16/05/08;00:00:00;278.5000000
ROSN;D;19/05/08;00:00:00;268.9900000
ROSN;D;20/05/08;00:00:00;265.2000000
ROSN;D;21/05/08;00:00:00;268.3000000
ROSN;D;22/05/08;00:00:00;262.0700000
ROSN;D;23/05/08;00:00:00;270.7000000
ROSN;D;26/05/08;00:00:00;275.5500000
ROSN;D;27/05/08;00:00:00;272.2000000
ROSN;D;28/05/08;00:00:00;275.7000000
ROSN;D;29/05/08;00:00:00;282.3000000
ROSN;D;30/05/08;00:00:00;286.9000000
ROSN;D;02/06/08;00:00:00;288.8000000
ROSN;D;03/06/08;00:00:00;284.8300000
ROSN;D;04/06/08;00:00:00;273.3000000
ROSN;D;05/06/08;00:00:00;273.6000000
ROSN;D;06/06/08;00:00:00;282.0300000
ROSN;D;07/06/08;00:00:00;278.7000000
ROSN;D;09/06/08;00:00:00;279.5500000
ROSN;D;10/06/08;00:00:00;275.8700000
ROSN;D;11/06/08;00:00:00;279.0100000
ROSN;D;16/06/08;00:00:00;279.4000000
ROSN;D;17/06/08;00:00:00;283.2500000
ROSN;D;18/06/08;00:00:00;282.3500000
ROSN;D;19/06/08;00:00:00;280.4200000
ROSN;D;20/06/08;00:00:00;276.5000000
ROSN;D;23/06/08;00:00:00;268.6000000
ROSN;D;24/06/08;00:00:00;265.0000000
ROSN;D;25/06/08;00:00:00;263.0000000
ROSN;D;26/06/08;00:00:00;263.6500000
ROSN;D;27/06/08;00:00:00;273.4200000
ROSN;D;30/06/08;00:00:00;272.6000000
ROSN;D;01/07/08;00:00:00;263.3000000
ROSN;D;02/07/08;00:00:00;264.9800000
ROSN;D;03/07/08;00:00:00;265.0000000
ROSN;D;04/07/08;00:00:00;255.0000000
ROSN;D;07/07/08;00:00:00;255.6000000
ROSN;D;08/07/08;00:00:00;253.0000000
ROSN;D;09/07/08;00:00:00;248.1200000
ROSN;D;10/07/08;00:00:00;251.3700000
ROSN;D;11/07/08;00:00:00;249.5400000
ROSN;D;14/07/08;00:00:00;262.2000000
ROSN;D;15/07/08;00:00:00;256.5500000
ROSN;D;16/07/08;00:00:00;259.9800000
ROSN;D;17/07/08;00:00:00;269.6000000
ROSN;D;18/07/08;00:00:00;251.6600000
ROSN;D;21/07/08;00:00:00;251.0000000
ROSN;D;22/07/08;00:00:00;250.6000000
ROSN;D;23/07/08;00:00:00;250.0000000
ROSN;D;24/07/08;00:00:00;239.7000000
ROSN;D;25/07/08;00:00:00;228.0000000
ROSN;D;28/07/08;00:00:00;231.6900000
ROSN;D;29/07/08;00:00:00;237.5200000
ROSN;D;30/07/08;00:00:00;244.0000000
ROSN;D;31/07/08;00:00:00;247.4000000
ROSN;D;01/08/08;00:00:00;240.8000000
ROSN;D;04/08/08;00:00:00;231.0200000
ROSN;D;05/08/08;00:00:00;216.0000000
ROSN;D;06/08/08;00:00:00;222.2000000
ROSN;D;07/08/08;00:00:00;223.2000000
ROSN;D;08/08/08;00:00:00;205.7700000
ROSN;D;11/08/08;00:00:00;213.5000000
ROSN;D;12/08/08;00:00:00;217.0300000
ROSN;D;13/08/08;00:00:00;209.6000000
ROSN;D;14/08/08;00:00:00;213.0000000
ROSN;D;15/08/08;00:00:00;216.8000000
ROSN;D;18/08/08;00:00:00;216.3300000
ROSN;D;19/08/08;00:00:00;200.5100000
ROSN;D;20/08/08;00:00:00;202.5700000
ROSN;D;21/08/08;00:00:00;201.0000000
ROSN;D;22/08/08;00:00:00;199.1000000
ROSN;D;25/08/08;00:00:00;190.1000000
ROSN;D;26/08/08;00:00:00;191.3500000
ROSN;D;27/08/08;00:00:00;194.0000000
ROSN;D;28/08/08;00:00:00;206.8500000
ROSN;D;29/08/08;00:00:00;209.0000000
ROSN;D;01/09/08;00:00:00;217.5000000
ROSN;D;02/09/08;00:00:00;214.8700000
ROSN;D;03/09/08;00:00:00;207.2300000
ROSN;D;04/09/08;00:00:00;198.0000000
ROSN;D;05/09/08;00:00:00;198.9900000
ROSN;D;08/09/08;00:00:00;210.2500000
ROSN;D;09/09/08;00:00:00;187.4000000
ROSN;D;10/09/08;00:00:00;190.5000000
ROSN;D;11/09/08;00:00:00;180.3000000
ROSN;D;12/09/08;00:00:00;185.5000000
ROSN;D;15/09/08;00:00:00;170.0100000
ROSN;D;16/09/08;00:00:00;133.8500000
ROSN;D;17/09/08;00:00:00;128.5000000
ROSN;D;19/09/08;00:00:00;188.0000000
ROSN;D;22/09/08;00:00:00;193.5000000
ROSN;D;23/09/08;00:00:00;195.9800000
ROSN;D;24/09/08;00:00:00;199.9700000
ROSN;D;25/09/08;00:00:00;191.5000000
ROSN;D;26/09/08;00:00:00;190.0100000
ROSN;D;29/09/08;00:00:00;176.5100000
ROSN;D;30/09/08;00:00:00;171.3900000
ROSN;D;01/10/08;00:00:00;166.4600000
ROSN;D;02/10/08;00:00:00;153.5000000
ROSN;D;03/10/08;00:00:00;143.3600000
ROSN;D;06/10/08;00:00:00;108.9500000
ROSN;D;07/10/08;00:00:00;107.0800000
ROSN;D;08/10/08;00:00:00;91.2900000
ROSN;D;09/10/08;00:00:00;103.8000000
ROSN;D;13/10/08;00:00:00;94.7300000
ROSN;D;14/10/08;00:00:00;109.7000000
ROSN;D;15/10/08;00:00:00;102.5000000
ROSN;D;16/10/08;00:00:00;100.9700000
ROSN;D;17/10/08;00:00:00;97.0000000
ROSN;D;20/10/08;00:00:00;105.5000000
ROSN;D;21/10/08;00:00:00;105.9000000
ROSN;D;22/10/08;00:00:00;103.0000000
ROSN;D;23/10/08;00:00:00;98.0000000
ROSN;D;24/10/08;00:00:00;84.0000000
ROSN;D;28/10/08;00:00:00;85.8200000
ROSN;D;29/10/08;00:00:00;98.0000000
ROSN;D;30/10/08;00:00:00;125.0000000
ROSN;D;31/10/08;00:00:00;123.6000000
ROSN;D;01/11/08;00:00:00;126.9100000
ROSN;D;05/11/08;00:00:00;127.0000000
ROSN;D;06/11/08;00:00:00;114.5000000
ROSN;D;07/11/08;00:00:00;113.2900000
ROSN;D;10/11/08;00:00:00;118.2000000
ROSN;D;11/11/08;00:00:00;102.6100000
ROSN;D;13/11/08;00:00:00;94.8500000
ROSN;D;14/11/08;00:00:00;91.4500000
ROSN;D;17/11/08;00:00:00;86.1900000
ROSN;D;18/11/08;00:00:00;87.1200000
ROSN;D;19/11/08;00:00:00;87.0000000
ROSN;D;20/11/08;00:00:00;85.2500000
ROSN;D;21/11/08;00:00:00;82.4100000
ROSN;D;24/11/08;00:00:00;103.0700000
ROSN;D;25/11/08;00:00:00;106.7600000
ROSN;D;26/11/08;00:00:00;105.0200000
ROSN;D;27/11/08;00:00:00;109.9500000
ROSN;D;28/11/08;00:00:00;108.5000000
ROSN;D;01/12/08;00:00:00;99.9900000
ROSN;D;02/12/08;00:00:00;99.0000000
ROSN;D;03/12/08;00:00:00;96.6200000
ROSN;D;04/12/08;00:00:00;95.9700000
ROSN;D;05/12/08;00:00:00;97.0000000
ROSN;D;08/12/08;00:00:00;110.6000000
ROSN;D;09/12/08;00:00:00;110.2000000
ROSN;D;10/12/08;00:00:00;118.3500000
ROSN;D;11/12/08;00:00:00;114.5000000
ROSN;D;12/12/08;00:00:00;110.6000000
ROSN;D;15/12/08;00:00:00;114.9500000
ROSN;D;16/12/08;00:00:00;115.3200000
ROSN;D;17/12/08;00:00:00;114.0000000
ROSN;D;18/12/08;00:00:00;103.8000000
ROSN;D;19/12/08;00:00:00;103.7900000
ROSN;D;22/12/08;00:00:00;108.4000000
ROSN;D;23/12/08;00:00:00;115.0500000
ROSN;D;24/12/08;00:00:00;115.3300000
ROSN;D;25/12/08;00:00:00;113.0000000
ROSN;D;26/12/08;00:00:00;112.0000000
ROSN;D;29/12/08;00:00:00;113.9800000
ROSN;D;30/12/08;00:00:00;112.3400000
ROSN;D;31/12/08;00:00:00;110.2900000
ROSN;D;11/01/09;00:00:00;114.2200000
ROSN;D;12/01/09;00:00:00;117.2000000
ROSN;D;13/01/09;00:00:00;118.8000000
ROSN;D;14/01/09;00:00:00;107.8400000
ROSN;D;15/01/09;00:00:00;109.3000000
ROSN;D;16/01/09;00:00:00;109.8800000
ROSN;D;19/01/09;00:00:00;107.7000000
ROSN;D;20/01/09;00:00:00;104.5800000
ROSN;D;21/01/09;00:00:00;106.5000000
