<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
LKOH;D;11/10/07;00:00:00;2219.6000000
LKOH;D;12/10/07;00:00:00;2201.3200000
LKOH;D;15/10/07;00:00:00;2211.7500000
LKOH;D;16/10/07;00:00:00;2211.5000000
LKOH;D;17/10/07;00:00:00;2210.0000000
LKOH;D;18/10/07;00:00:00;2140.5100000
LKOH;D;19/10/07;00:00:00;2132.0000000
LKOH;D;22/10/07;00:00:00;2076.9900000
LKOH;D;23/10/07;00:00:00;2094.0000000
LKOH;D;24/10/07;00:00:00;2084.1000000
LKOH;D;25/10/07;00:00:00;2107.5000000
LKOH;D;26/10/07;00:00:00;2174.0000000
LKOH;D;29/10/07;00:00:00;2232.0000000
LKOH;D;30/10/07;00:00:00;2213.4000000
LKOH;D;31/10/07;00:00:00;2237.0100000
LKOH;D;01/11/07;00:00:00;2230.0000000
LKOH;D;02/11/07;00:00:00;2255.0000000
LKOH;D;06/11/07;00:00:00;2331.0000000
LKOH;D;07/11/07;00:00:00;2308.0000000
LKOH;D;08/11/07;00:00:00;2303.1100000
LKOH;D;09/11/07;00:00:00;2239.0000000
LKOH;D;12/11/07;00:00:00;2209.7000000
LKOH;D;13/11/07;00:00:00;2179.0000000
LKOH;D;14/11/07;00:00:00;2187.0000000
LKOH;D;15/11/07;00:00:00;2165.0000000
LKOH;D;16/11/07;00:00:00;2116.5000000
LKOH;D;19/11/07;00:00:00;2085.0000000
LKOH;D;20/11/07;00:00:00;2116.5000000
LKOH;D;21/11/07;00:00:00;2069.4900000
LKOH;D;22/11/07;00:00:00;2071.8900000
LKOH;D;23/11/07;00:00:00;2075.0100000
LKOH;D;26/11/07;00:00:00;2127.0000000
LKOH;D;27/11/07;00:00:00;2086.0000000
LKOH;D;28/11/07;00:00:00;2102.9900000
LKOH;D;29/11/07;00:00:00;2093.0000000
LKOH;D;30/11/07;00:00:00;2115.0000000
LKOH;D;03/12/07;00:00:00;2085.0000000
LKOH;D;04/12/07;00:00:00;2069.7900000
LKOH;D;05/12/07;00:00:00;2162.9700000
LKOH;D;06/12/07;00:00:00;2146.9900000
LKOH;D;07/12/07;00:00:00;2163.0000000
LKOH;D;10/12/07;00:00:00;2210.0000000
LKOH;D;11/12/07;00:00:00;2215.0000000
LKOH;D;12/12/07;00:00:00;2267.7700000
LKOH;D;13/12/07;00:00:00;2225.0700000
LKOH;D;14/12/07;00:00:00;2144.0000000
LKOH;D;17/12/07;00:00:00;2156.1000000
LKOH;D;18/12/07;00:00:00;2133.0000000
LKOH;D;19/12/07;00:00:00;2111.9900000
LKOH;D;20/12/07;00:00:00;2132.0000000
LKOH;D;21/12/07;00:00:00;2141.0000000
LKOH;D;24/12/07;00:00:00;2130.0000000
LKOH;D;25/12/07;00:00:00;2122.2000000
LKOH;D;26/12/07;00:00:00;2108.0000000
LKOH;D;27/12/07;00:00:00;2104.0000000
LKOH;D;28/12/07;00:00:00;2067.1000000
LKOH;D;09/01/08;00:00:00;2079.0000000
LKOH;D;10/01/08;00:00:00;2062.0000000
LKOH;D;11/01/08;00:00:00;2036.0000000
LKOH;D;14/01/08;00:00:00;2004.0000000
LKOH;D;15/01/08;00:00:00;1990.9700000
LKOH;D;16/01/08;00:00:00;1892.0000000
LKOH;D;17/01/08;00:00:00;1891.0000000
LKOH;D;18/01/08;00:00:00;1870.0000000
LKOH;D;21/01/08;00:00:00;1718.0000000
LKOH;D;22/01/08;00:00:00;1666.0000000
LKOH;D;23/01/08;00:00:00;1600.0000000
LKOH;D;24/01/08;00:00:00;1736.9900000
LKOH;D;25/01/08;00:00:00;1818.0000000
LKOH;D;28/01/08;00:00:00;1737.0000000
LKOH;D;29/01/08;00:00:00;1775.0000000
LKOH;D;30/01/08;00:00:00;1736.0000000
LKOH;D;31/01/08;00:00:00;1668.0000000
LKOH;D;01/02/08;00:00:00;1739.9900000
LKOH;D;04/02/08;00:00:00;1768.0000000
LKOH;D;05/02/08;00:00:00;1725.0200000
LKOH;D;06/02/08;00:00:00;1715.0100000
LKOH;D;07/02/08;00:00:00;1654.0000000
LKOH;D;08/02/08;00:00:00;1638.0000000
LKOH;D;11/02/08;00:00:00;1697.0000000
LKOH;D;12/02/08;00:00:00;1769.0000000
LKOH;D;13/02/08;00:00:00;1807.0400000
LKOH;D;14/02/08;00:00:00;1812.2000000
LKOH;D;15/02/08;00:00:00;1754.0000000
LKOH;D;18/02/08;00:00:00;1790.0000000
LKOH;D;19/02/08;00:00:00;1802.7900000
LKOH;D;20/02/08;00:00:00;1775.2200000
LKOH;D;21/02/08;00:00:00;1822.0000000
LKOH;D;22/02/08;00:00:00;1830.2500000
LKOH;D;26/02/08;00:00:00;1837.0000000
LKOH;D;27/02/08;00:00:00;1832.0000000
LKOH;D;28/02/08;00:00:00;1803.0000000
LKOH;D;29/02/08;00:00:00;1786.0000000
LKOH;D;03/03/08;00:00:00;1746.8300000
LKOH;D;04/03/08;00:00:00;1699.0000000
LKOH;D;05/03/08;00:00:00;1724.0000000
LKOH;D;06/03/08;00:00:00;1738.0000000
LKOH;D;07/03/08;00:00:00;1712.4800000
LKOH;D;11/03/08;00:00:00;1782.9400000
LKOH;D;12/03/08;00:00:00;1821.0000000
LKOH;D;13/03/08;00:00:00;1793.0000000
LKOH;D;14/03/08;00:00:00;1813.8900000
LKOH;D;17/03/08;00:00:00;1746.0000000
LKOH;D;18/03/08;00:00:00;1805.9600000
LKOH;D;19/03/08;00:00:00;1803.4300000
LKOH;D;20/03/08;00:00:00;1752.9900000
LKOH;D;21/03/08;00:00:00;1753.0000000
LKOH;D;24/03/08;00:00:00;1830.0000000
LKOH;D;25/03/08;00:00:00;1830.1200000
LKOH;D;26/03/08;00:00:00;1863.9900000
LKOH;D;27/03/08;00:00:00;1934.0000000
LKOH;D;28/03/08;00:00:00;1978.3200000
LKOH;D;31/03/08;00:00:00;1999.9900000
LKOH;D;01/04/08;00:00:00;1986.0000000
LKOH;D;02/04/08;00:00:00;1972.0000000
LKOH;D;03/04/08;00:00:00;1960.0000000
LKOH;D;04/04/08;00:00:00;1967.0000000
LKOH;D;07/04/08;00:00:00;2021.0000000
LKOH;D;08/04/08;00:00:00;1995.0200000
LKOH;D;09/04/08;00:00:00;2015.8800000
LKOH;D;10/04/08;00:00:00;2053.0000000
LKOH;D;11/04/08;00:00:00;2025.3000000
LKOH;D;14/04/08;00:00:00;1998.0000000
LKOH;D;15/04/08;00:00:00;2078.0000000
LKOH;D;16/04/08;00:00:00;2133.5100000
LKOH;D;17/04/08;00:00:00;2134.5000000
LKOH;D;18/04/08;00:00:00;2155.0100000
LKOH;D;21/04/08;00:00:00;2146.0000000
LKOH;D;22/04/08;00:00:00;2142.5000000
LKOH;D;23/04/08;00:00:00;2125.1500000
LKOH;D;24/04/08;00:00:00;2086.0000000
LKOH;D;25/04/08;00:00:00;2127.3000000
LKOH;D;28/04/08;00:00:00;2151.0000000
LKOH;D;29/04/08;00:00:00;2125.0000000
LKOH;D;30/04/08;00:00:00;2137.0000000
LKOH;D;04/05/08;00:00:00;2156.0000000
LKOH;D;05/05/08;00:00:00;2134.9900000
LKOH;D;06/05/08;00:00:00;2169.8600000
LKOH;D;07/05/08;00:00:00;2242.7800000
LKOH;D;08/05/08;00:00:00;2387.0000000
LKOH;D;12/05/08;00:00:00;2446.6000000
LKOH;D;13/05/08;00:00:00;2473.2100000
LKOH;D;14/05/08;00:00:00;2606.9900000
LKOH;D;15/05/08;00:00:00;2572.0000000
LKOH;D;16/05/08;00:00:00;2686.0000000
LKOH;D;19/05/08;00:00:00;2640.0000000
LKOH;D;20/05/08;00:00:00;2575.0000000
