Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): 9.320048628630664, всего: 94.79498470065484, eta: 9.094947017729283e-17
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 21.30190249798518, всего: 116.09688719864002, eta: 4.5474735088646414e-17
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 4.68502971680745, всего: 120.78191691544747, eta: 2.2737367544323207e-17
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 0.738060626323333, всего: 121.5199775417708, eta: 1.1368683772161604e-17
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 0.7342487804471911, всего: 122.25422632221799, eta: 5.684341886080802e-18
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 0.5076809813149855, всего: 122.76190730353298, eta: 2.842170943040401e-18
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): -2.0346175029491267, всего: 120.72728980058385, eta: 1.4210854715202004e-18
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): -6.8977124560992955, всего: 113.82957734448455, eta: 7.105427357601002e-19
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): 14.024095278440871, всего: 127.85367262292542, eta: 3.552713678800501e-19
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): -9.556395567950657, всего: 118.29727705497476, eta: 1.7763568394002505e-19
Выигрыш алгоритма Hedge на шаге 50 (2007-07-21 00:00:00): 0.5903479149976332, всего: 118.88762496997239, eta: 8.881784197001253e-20
Выигрыш алгоритма Hedge на шаге 51 (2007-07-22 00:00:00): 0.6649149352427208, всего: 119.55253990521511, eta: 4.4408920985006264e-20
Выигрыш алгоритма Hedge на шаге 52 (2007-07-23 00:00:00): 0.6648916515835607, всего: 120.21743155679867, eta: 2.2204460492503132e-20
Выигрыш алгоритма Hedge на шаге 53 (2007-07-24 00:00:00): -19.989028076450925, всего: 100.22840348034775, eta: 1.1102230246251566e-20
Выигрыш алгоритма Hedge на шаге 54 (2007-07-25 00:00:00): 2.7451826741778156, всего: 102.97358615452556, eta: 5.551115123125783e-21
Выигрыш алгоритма Hedge на шаге 55 (2007-07-26 00:00:00): -27.333171642168637, всего: 75.64041451235693, eta: 2.7755575615628915e-21
Выигрыш алгоритма Hedge на шаге 56 (2007-07-27 00:00:00): -14.559656550736246, всего: 61.08075796162068, eta: 1.3877787807814457e-21
Выигрыш алгоритма Hedge на шаге 57 (2007-07-28 00:00:00): 1.773390058019932, всего: 62.85414801964061, eta: 6.938893903907229e-22
Выигрыш алгоритма Hedge на шаге 58 (2007-07-29 00:00:00): 1.7734259218410136, всего: 64.62757394148163, eta: 3.4694469519536144e-22
Выигрыш алгоритма Hedge на шаге 59 (2007-07-30 00:00:00): 1.7734754750196535, всего: 66.40104941650128, eta: 1.7347234759768072e-22
Выигрыш алгоритма Hedge на шаге 60 (2007-07-31 00:00:00): 9.754681299084128, всего: 76.1557307155854, eta: 8.673617379884036e-23
Выигрыш алгоритма Hedge на шаге 61 (2007-08-01 00:00:00): -17.0520125148166, всего: 59.10371820076881, eta: 4.336808689942018e-23
Выигрыш алгоритма Hedge на шаге 62 (2007-08-02 00:00:00): 9.811111609603355, всего: 68.91482981037217, eta: 2.168404344971009e-23
Выигрыш алгоритма Hedge на шаге 63 (2007-08-03 00:00:00): 3.803252033061609, всего: 72.71808184343378, eta: 1.0842021724855045e-23
Выигрыш алгоритма Hedge на шаге 64 (2007-08-04 00:00:00): -3.423963321237677, всего: 69.2941185221961, eta: 5.4210108624275224e-24
Выигрыш алгоритма Hedge на шаге 65 (2007-08-05 00:00:00): -3.423913014057637, всего: 65.87020550813847, eta: 2.7105054312137612e-24
Выигрыш алгоритма Hedge на шаге 66 (2007-08-06 00:00:00): -3.4238567774108546, всего: 62.446348730727614, eta: 1.3552527156068806e-24
Выигрыш алгоритма Hedge на шаге 67 (2007-08-07 00:00:00): 5.288809096948322, всего: 67.73515782767593, eta: 6.776263578034403e-25
Выигрыш алгоритма Hedge на шаге 68 (2007-08-08 00:00:00): 16.597125483705838, всего: 84.33228331138177, eta: 3.3881317890172015e-25
Выигрыш алгоритма Hedge на шаге 69 (2007-08-09 00:00:00): -23.789878478059546, всего: 60.54240483332222, eta: 1.6940658945086008e-25
Выигрыш алгоритма Hedge на шаге 70 (2007-08-10 00:00:00): -11.247030901065765, всего: 49.29537393225646, eta: 8.470329472543004e-26
Выигрыш алгоритма Hedge на шаге 71 (2007-08-11 00:00:00): 6.536203800979322, всего: 55.83157773323578, eta: 4.235164736271502e-26
Выигрыш алгоритма Hedge на шаге 72 (2007-08-12 00:00:00): 6.5362056323068805, всего: 62.367783365542664, eta: 2.117582368135751e-26
Выигрыш алгоритма Hedge на шаге 73 (2007-08-13 00:00:00): 6.536157207421432, всего: 68.9039405729641, eta: 1.0587911840678755e-26
Выигрыш алгоритма Hedge на шаге 74 (2007-08-14 00:00:00): -4.485607398900139, всего: 64.41833317406396, eta: 5.2939559203393774e-27
Выигрыш алгоритма Hedge на шаге 75 (2007-08-15 00:00:00): -19.667018902907557, всего: 44.7513142711564, eta: 2.6469779601696887e-27
Выигрыш алгоритма Hedge на шаге 76 (2007-08-16 00:00:00): -20.67264749967517, всего: 24.078666771481235, eta: 1.3234889800848443e-27
Выигрыш алгоритма Hedge на шаге 77 (2007-08-17 00:00:00): 17.331767495471997, всего: 41.41043426695323, eta: 6.617444900424222e-28
Выигрыш алгоритма Hedge на шаге 78 (2007-08-18 00:00:00): -2.4041080297164132, всего: 39.00632623723682, eta: 3.308722450212111e-28
Выигрыш алгоритма Hedge на шаге 79 (2007-08-19 00:00:00): -2.4040760435651465, всего: 36.60225019367167, eta: 1.6543612251060554e-28
Выигрыш алгоритма Hedge на шаге 80 (2007-08-20 00:00:00): -2.403296526745118, всего: 34.198953666926556, eta: 8.271806125530277e-29
Выигрыш алгоритма Hedge на шаге 81 (2007-08-21 00:00:00): -7.559581856400438, всего: 26.639371810526118, eta: 4.1359030627651386e-29
Выигрыш алгоритма Hedge на шаге 82 (2007-08-22 00:00:00): 16.46004477375853, всего: 43.09941658428465, eta: 2.0679515313825693e-29
Выигрыш алгоритма Hedge на шаге 83 (2007-08-23 00:00:00): -5.409204503521091, всего: 37.69021208076356, eta: 1.0339757656912846e-29
Выигрыш алгоритма Hedge на шаге 84 (2007-08-24 00:00:00): 0.1885475540085264, всего: 37.87875963477209, eta: 5.169878828456423e-30
Выигрыш алгоритма Hedge на шаге 85 (2007-08-25 00:00:00): 3.978898937054626, всего: 41.85765857182671, eta: 2.5849394142282116e-30
Выигрыш алгоритма Hedge на шаге 86 (2007-08-26 00:00:00): 3.978880137622299, всего: 45.83653870944901, eta: 1.2924697071141058e-30
Выигрыш алгоритма Hedge на шаге 87 (2007-08-27 00:00:00): 3.7569401304861443, всего: 49.59347883993515, eta: 6.462348535570529e-31
Выигрыш алгоритма Hedge на шаге 88 (2007-08-28 00:00:00): -5.775475104234184, всего: 43.81800373570097, eta: 3.2311742677852645e-31
Выигрыш алгоритма Hedge на шаге 89 (2007-08-29 00:00:00): -4.450753294409636, всего: 39.36725044129133, eta: 1.6155871338926323e-31
