Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): 9.241182039428303, всего: 97.76854300748278, eta: 9.094947017729283e-16
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 20.419733413107707, всего: 118.18827642059048, eta: 4.547473508864641e-16
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 5.400259841644669, всего: 123.58853626223515, eta: 2.2737367544323206e-16
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 0.7164864628401915, всего: 124.30502272507535, eta: 1.1368683772161603e-16
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 0.7164999058792931, всего: 125.02152263095464, eta: 5.684341886080802e-17
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 0.7165057521389928, всего: 125.73802838309363, eta: 2.842170943040401e-17
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): -2.069279837149533, всего: 123.6687485459441, eta: 1.4210854715202004e-17
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): -8.23107585583612, всего: 115.43767269010797, eta: 7.105427357601002e-18
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): 13.915613136572267, всего: 129.35328582668024, eta: 3.552713678800501e-18
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): -9.505860585528428, всего: 119.84742524115181, eta: 1.7763568394002505e-18
Выигрыш алгоритма Hedge на шаге 50 (2007-07-21 00:00:00): 0.65184311070639, всего: 120.4992683518582, eta: 8.881784197001253e-19
Выигрыш алгоритма Hedge на шаге 51 (2007-07-22 00:00:00): 0.6518452719685255, всего: 121.15111362382673, eta: 4.440892098500626e-19
Выигрыш алгоритма Hedge на шаге 52 (2007-07-23 00:00:00): 0.6518474433153278, всего: 121.80296106714206, eta: 2.220446049250313e-19
Выигрыш алгоритма Hedge на шаге 53 (2007-07-24 00:00:00): -19.964935757960895, всего: 101.83802530918118, eta: 1.1102230246251566e-19
Выигрыш алгоритма Hedge на шаге 54 (2007-07-25 00:00:00): 2.6814853392282174, всего: 104.5195106484094, eta: 5.551115123125783e-20
Выигрыш алгоритма Hedge на шаге 55 (2007-07-26 00:00:00): -26.904598817357932, всего: 77.61491183105146, eta: 2.7755575615628914e-20
Выигрыш алгоритма Hedge на шаге 56 (2007-07-27 00:00:00): -14.116522918325757, всего: 63.4983889127257, eta: 1.3877787807814457e-20
Выигрыш алгоритма Hedge на шаге 57 (2007-07-28 00:00:00): 1.732953376537167, всего: 65.23134228926287, eta: 6.938893903907229e-21
Выигрыш алгоритма Hedge на шаге 58 (2007-07-29 00:00:00): 1.800792418925052, всего: 67.03213470818793, eta: 3.469446951953614e-21
Выигрыш алгоритма Hedge на шаге 59 (2007-07-30 00:00:00): 1.800797605585975, всего: 68.8329323137739, eta: 1.734723475976807e-21
Выигрыш алгоритма Hedge на шаге 60 (2007-07-31 00:00:00): 9.650493243006315, всего: 78.4834255567802, eta: 8.673617379884036e-22
Выигрыш алгоритма Hedge на шаге 61 (2007-08-01 00:00:00): -16.981939335426514, всего: 61.50148622135369, eta: 4.336808689942018e-22
Выигрыш алгоритма Hedge на шаге 62 (2007-08-02 00:00:00): 10.009571316170401, всего: 71.5110575375241, eta: 2.168404344971009e-22
Выигрыш алгоритма Hedge на шаге 63 (2007-08-03 00:00:00): 3.7942606740958165, всего: 75.3053182116199, eta: 1.0842021724855045e-22
Выигрыш алгоритма Hedge на шаге 64 (2007-08-04 00:00:00): -3.457144791357124, всего: 71.84817342026278, eta: 5.421010862427522e-23
