Выигрыш алгоритма Hedge на шаге 1 (2007-06-02 00:00:00): -2.621157889999978, всего: -2.621157889999978, eta: 0.0005
Выигрыш алгоритма Hedge на шаге 2 (2007-06-03 00:00:00): -3.070616662897013, всего: -5.691774552896991, eta: 5e-05
Выигрыш алгоритма Hedge на шаге 3 (2007-06-04 00:00:00): -3.064303897704611, всего: -8.756078450601603, eta: 5e-06
Выигрыш алгоритма Hedge на шаге 4 (2007-06-05 00:00:00): 6.599957137826008, всего: -2.1561213127755945, eta: 5.000000000000001e-07
Выигрыш алгоритма Hedge на шаге 5 (2007-06-06 00:00:00): 6.882178701989954, всего: 4.726057389214359, eta: 5.000000000000001e-08
Выигрыш алгоритма Hedge на шаге 6 (2007-06-07 00:00:00): 4.065392492308997, всего: 8.791449881523356, eta: 5.000000000000002e-09
Выигрыш алгоритма Hedge на шаге 7 (2007-06-08 00:00:00): 6.236006844735929, всего: 15.027456726259285, eta: 5.000000000000002e-10
Выигрыш алгоритма Hedge на шаге 8 (2007-06-09 00:00:00): 15.454774525653884, всего: 30.48223125191317, eta: 5.000000000000003e-11
Выигрыш алгоритма Hedge на шаге 9 (2007-06-10 00:00:00): 2.272875184050098, всего: 32.75510643596327, eta: 5.000000000000003e-12
Выигрыш алгоритма Hedge на шаге 10 (2007-06-11 00:00:00): 2.272858307964869, всего: 35.02796474392814, eta: 5.000000000000003e-13
Выигрыш алгоритма Hedge на шаге 11 (2007-06-12 00:00:00): 2.27285830827607, всего: 37.30082305220421, eta: 5.000000000000003e-14
Выигрыш алгоритма Hedge на шаге 12 (2007-06-13 00:00:00): 2.2331730370184824, всего: 39.53399608922269, eta: 5.000000000000004e-15
Выигрыш алгоритма Hedge на шаге 13 (2007-06-14 00:00:00): 25.169831303107493, всего: 64.70382739233018, eta: 5.000000000000004e-16
Выигрыш алгоритма Hedge на шаге 14 (2007-06-15 00:00:00): -6.087329939518574, всего: 58.61649745281161, eta: 5.000000000000005e-17
Выигрыш алгоритма Hedge на шаге 15 (2007-06-16 00:00:00): 1.4617327864354073, всего: 60.07823023924701, eta: 5.000000000000005e-18
Выигрыш алгоритма Hedge на шаге 16 (2007-06-17 00:00:00): 1.461701438850883, всего: 61.53993167809789, eta: 5.000000000000005e-19
Выигрыш алгоритма Hedge на шаге 17 (2007-06-18 00:00:00): 1.2065424956153923, всего: 62.74647417371329, eta: 5.000000000000005e-20
Выигрыш алгоритма Hedge на шаге 18 (2007-06-19 00:00:00): -3.5580691772335595, всего: 59.188404996479726, eta: 5.000000000000006e-21
Выигрыш алгоритма Hedge на шаге 19 (2007-06-20 00:00:00): 11.95631547576156, всего: 71.14472047224129, eta: 5.000000000000006e-22
Выигрыш алгоритма Hedge на шаге 20 (2007-06-21 00:00:00): -19.049913443619815, всего: 52.094807028621474, eta: 5.000000000000006e-23
