Выигрыш алгоритма Hedge на шаге 39 (2007-07-10 00:00:00): -8.749604975599691, всего: 85.44666732771655, eta: 1.0000000000000023e-44
Выигрыш алгоритма Hedge на шаге 40 (2007-07-11 00:00:00): 9.321356929030848, всего: 94.7680242567474, eta: 1.0000000000000023e-45
Выигрыш алгоритма Hedge на шаге 41 (2007-07-12 00:00:00): 21.320334192300866, всего: 116.08835844904826, eta: 1.0000000000000024e-46
Выигрыш алгоритма Hedge на шаге 42 (2007-07-13 00:00:00): 4.667671660471155, всего: 120.75603010951941, eta: 1.0000000000000024e-47
Выигрыш алгоритма Hedge на шаге 43 (2007-07-14 00:00:00): 0.740216398936053, всего: 121.49624650845547, eta: 1.0000000000000024e-48
Выигрыш алгоритма Hedge на шаге 44 (2007-07-15 00:00:00): 0.7364037474533179, всего: 122.2326502559088, eta: 1.0000000000000024e-49
Выигрыш алгоритма Hedge на шаге 45 (2007-07-16 00:00:00): 0.5101756226355323, всего: 122.74282587854432, eta: 1.0000000000000025e-50
Выигрыш алгоритма Hedge на шаге 46 (2007-07-17 00:00:00): -2.034309581033278, всего: 120.70851629751104, eta: 1.0000000000000025e-51
Выигрыш алгоритма Hedge на шаге 47 (2007-07-18 00:00:00): -6.922298997868152, всего: 113.78621729964289, eta: 1.0000000000000026e-52
Выигрыш алгоритма Hedge на шаге 48 (2007-07-19 00:00:00): 14.037150340648356, всего: 127.82336764029124, eta: 1.0000000000000027e-53
Выигрыш алгоритма Hedge на шаге 49 (2007-07-20 00:00:00): -9.562036665172391, всего: 118.26133097511885, eta: 1.0000000000000028e-54
Выигрыш алгоритма Hedge на шаге 50 (2007-07-21 00:00:00): 0.5921927373988347, всего: 118.85352371251768, eta: 1.0000000000000029e-55
Выигрыш алгоритма Hedge на шаге 51 (2007-07-22 00:00:00): 0.6665361002893793, всего: 119.52005981280706, eta: 1.000000000000003e-56
Выигрыш алгоритма Hedge на шаге 52 (2007-07-23 00:00:00): 0.666538779292863, всего: 120.18659859209993, eta: 1.000000000000003e-57
Выигрыш алгоритма Hedge на шаге 53 (2007-07-24 00:00:00): -19.991690660561947, всего: 100.19490793153798, eta: 1.0000000000000032e-58
Выигрыш алгоритма Hedge на шаге 54 (2007-07-25 00:00:00): 2.7517733798645216, всего: 102.9466813114025, eta: 1.0000000000000033e-59
Выигрыш алгоритма Hedge на шаге 55 (2007-07-26 00:00:00): -27.342189315786502, всего: 75.604491995616, eta: 1.0000000000000034e-60
Выигрыш алгоритма Hedge на шаге 56 (2007-07-27 00:00:00): -14.562274396365412, всего: 61.04221759925059, eta: 1.0000000000000035e-61
Выигрыш алгоритма Hedge на шаге 57 (2007-07-28 00:00:00): 1.769866785237999, всего: 62.81208438448859, eta: 1.0000000000000035e-62
Выигрыш алгоритма Hedge на шаге 58 (2007-07-29 00:00:00): 1.7699026750379803, всего: 64.58198705952657, eta: 1.0000000000000036e-63
Выигрыш алгоритма Hedge на шаге 59 (2007-07-30 00:00:00): 1.7699077860651542, всего: 66.35189484559172, eta: 1.0000000000000037e-64
Выигрыш алгоритма Hedge на шаге 60 (2007-07-31 00:00:00): 9.767030050550385, всего: 76.1189248961421, eta: 1.0000000000000037e-65
Выигрыш алгоритма Hedge на шаге 61 (2007-08-01 00:00:00): -17.06828718763351, всего: 59.050637708508596, eta: 1.0000000000000038e-66
Выигрыш алгоритма Hedge на шаге 62 (2007-08-02 00:00:00): 9.81254654539886, всего: 68.86318425390746, eta: 1.0000000000000039e-67
Выигрыш алгоритма Hedge на шаге 63 (2007-08-03 00:00:00): 3.792723133221846, всего: 72.6559073871293, eta: 1.000000000000004e-68
Выигрыш алгоритма Hedge на шаге 64 (2007-08-04 00:00:00): -3.421389738760263, всего: 69.23451764836904, eta: 1.0000000000000041e-69
Выигрыш алгоритма Hedge на шаге 65 (2007-08-05 00:00:00): -3.421391303998395, всего: 65.81312634437064, eta: 1.0000000000000042e-70
Выигрыш алгоритма Hedge на шаге 66 (2007-08-06 00:00:00): -3.4213868502414733, всего: 62.39173949412917, eta: 1.0000000000000041e-71
Выигрыш алгоритма Hedge на шаге 67 (2007-08-07 00:00:00): 5.227397208252589, всего: 67.61913670238175, eta: 1.0000000000000042e-72
Выигрыш алгоритма Hedge на шаге 68 (2007-08-08 00:00:00): 16.609061569264448, всего: 84.22819827164619, eta: 1.0000000000000042e-73
Выигрыш алгоритма Hedge на шаге 69 (2007-08-09 00:00:00): -23.796572558847007, всего: 60.43162571279919, eta: 1.0000000000000043e-74
Выигрыш алгоритма Hedge на шаге 70 (2007-08-10 00:00:00): -11.241474297121162, всего: 49.19015141567803, eta: 1.0000000000000044e-75
Выигрыш алгоритма Hedge на шаге 71 (2007-08-11 00:00:00): 6.539152880896408, всего: 55.72930429657444, eta: 1.0000000000000044e-76
Выигрыш алгоритма Hedge на шаге 72 (2007-08-12 00:00:00): 6.53915463907251, всего: 62.26845893564695, eta: 1.0000000000000043e-77
Выигрыш алгоритма Hedge на шаге 73 (2007-08-13 00:00:00): 6.539106267549679, всего: 68.80756520319663, eta: 1.0000000000000044e-78
Выигрыш алгоритма Hedge на шаге 74 (2007-08-14 00:00:00): -4.485299474620259, всего: 64.32226572857637, eta: 1.0000000000000045e-79
Выигрыш алгоритма Hedge на шаге 75 (2007-08-15 00:00:00): -19.669236140177485, всего: 44.65302958839888, eta: 1.0000000000000045e-80
Выигрыш алгоритма Hedge на шаге 76 (2007-08-16 00:00:00): -20.673872587033003, всего: 23.979157001365877, eta: 1.0000000000000045e-81
Выигрыш алгоритма Hedge на шаге 77 (2007-08-17 00:00:00): 17.336271095352796, всего: 41.315428096718676, eta: 1.0000000000000046e-82
Выигрыш алгоритма Hedge на шаге 78 (2007-08-18 00:00:00): -2.404361413705299, всего: 38.911066683013374, eta: 1.0000000000000048e-83
Выигрыш алгоритма Hedge на шаге 79 (2007-08-19 00:00:00): -2.4043960806862237, всего: 36.50667060232715, eta: 1.0000000000000048e-84
Выигрыш алгоритма Hedge на шаге 80 (2007-08-20 00:00:00): -2.403617668406651, всего: 34.103052933920495, eta: 1.0000000000000048e-85
Выигрыш алгоритма Hedge на шаге 81 (2007-08-21 00:00:00): -7.561597979314451, всего: 26.541454954606046, eta: 1.0000000000000049e-86
Выигрыш алгоритма Hedge на шаге 82 (2007-08-22 00:00:00): 16.469600848435075, всего: 43.01105580304112, eta: 1.0000000000000049e-87
Выигрыш алгоритма Hedge на шаге 83 (2007-08-23 00:00:00): -5.404799152344337, всего: 37.60625665069678, eta: 1.000000000000005e-88
Выигрыш алгоритма Hedge на шаге 84 (2007-08-24 00:00:00): 0.18732436758679438, всего: 37.793581018283575, eta: 1.0000000000000051e-89
Выигрыш алгоритма Hedge на шаге 85 (2007-08-25 00:00:00): 3.9808792360857943, всего: 41.77446025436937, eta: 1.0000000000000052e-90
Выигрыш алгоритма Hedge на шаге 86 (2007-08-26 00:00:00): 3.9808604694476486, всего: 45.75532072381702, eta: 1.0000000000000053e-91
Выигрыш алгоритма Hedge на шаге 87 (2007-08-27 00:00:00): 3.7588696583783268, всего: 49.51419038219535, eta: 1.0000000000000054e-92
Выигрыш алгоритма Hedge на шаге 88 (2007-08-28 00:00:00): -5.78172962835472, всего: 43.732460753840634, eta: 1.0000000000000054e-93
Выигрыш алгоритма Hedge на шаге 89 (2007-08-29 00:00:00): -4.441950690654192, всего: 39.290510063186446, eta: 1.0000000000000055e-94
Выигрыш алгоритма Hedge на шаге 90 (2007-08-30 00:00:00): -1.6754196135683685, всего: 37.61509044961808, eta: 1.0000000000000056e-95
Выигрыш алгоритма Hedge на шаге 91 (2007-08-31 00:00:00): 22.60189029365101, всего: 60.21698074326909, eta: 1.0000000000000057e-96
Выигрыш алгоритма Hedge на шаге 92 (2007-09-01 00:00:00): -1.750708590403854, всего: 58.46627215286524, eta: 1.0000000000000058e-97
Выигрыш алгоритма Hedge на шаге 93 (2007-09-02 00:00:00): -1.6664357508041694, всего: 56.79983640206107, eta: 1.0000000000000058e-98
Выигрыш алгоритма Hedge на шаге 94 (2007-09-03 00:00:00): -1.6788876017456775, всего: 55.12094880031539, eta: 1.000000000000006e-99
Выигрыш алгоритма Hedge на шаге 95 (2007-09-04 00:00:00): -4.774069015502231, всего: 50.346879784813154, eta: 1.000000000000006e-100
Выигрыш алгоритма Hedge на шаге 96 (2007-09-05 00:00:00): -0.9157961239955834, всего: 49.43108366081757, eta: 1.0000000000000061e-101
Выигрыш алгоритма Hedge на шаге 97 (2007-09-06 00:00:00): 6.485777435773504, всего: 55.91686109659108, eta: 1.000000000000006e-102
Выигрыш алгоритма Hedge на шаге 98 (2007-09-07 00:00:00): -18.518746370021542, всего: 37.39811472656953, eta: 1.0000000000000062e-103
Выигрыш алгоритма Hedge на шаге 99 (2007-09-08 00:00:00): -0.42027251405474975, всего: 36.97784221251478, eta: 1.0000000000000063e-104
Выигрыш алгоритма Hedge на шаге 100 (2007-09-09 00:00:00): -0.45368046580882615, всего: 36.52416174670596, eta: 1.0000000000000064e-105
